Date,Monthly Value,Accumulated Value
2015-01,0.12,0.12
2015-03,0.57,0.69
2015-04,0.35,1.04
2015-06,0.36,1.4
2015-07,1.69,3.09
2015-08,1.7,4.79
2015-09,0.81,5.6
2015-11,0.45,6.05
2015-12,0.23,6.28
2016-01,0.89,7.17
2016-02,0.97,8.14
2016-03,0.71,8.850000000000001
2016-04,0.55,9.400000000000002
2016-06,0.96,10.360000000000003
2016-07,0.41,10.770000000000003
2016-08,0.27,11.040000000000003
2016-10,0.51,11.550000000000002
2016-11,0.95,12.500000000000002
2017-01,0.33,12.830000000000002
2017-02,0.69,13.520000000000001
2017-03,1.8,15.320000000000002
2017-04,0.82,16.14
2017-05,0.75,16.89
2017-06,0.97,17.86
2017-07,0.6,18.46
2017-08,1.91,20.37
2017-09,1.12,21.490000000000002
2017-12,0.59,22.080000000000002
2018-02,0.62,22.700000000000003
2018-03,0.45,23.150000000000002
2018-04,0.41,23.560000000000002
2018-06,0.33,23.89
2018-09,0.72,24.61
2018-10,0.75,25.36
2018-11,0.69,26.05
2018-12,2.15,28.2
2019-01,1.59,29.79
2019-02,2.04,31.83
2019-03,1.75,33.58
2019-04,2.05,35.629999999999995
2019-05,1.14,36.769999999999996
2019-06,2.72,39.489999999999995
2019-07,2.34,41.83
2019-08,1.41,43.239999999999995
2019-09,1.7,44.94
2019-11,1.76,46.699999999999996
2020-01,0.88,47.58
2020-02,0.48,48.059999999999995
2020-03,1.65,49.709999999999994
2020-04,2.91,52.61999999999999
2020-05,3.67,56.28999999999999
2020-06,2.15,58.43999999999999
2020-07,1.31,59.74999999999999
2020-08,1.27,61.019999999999996
2020-09,0.63,61.65
2020-12,0.19,61.839999999999996
2021-03,0.35,62.19
2021-04,0.33,62.519999999999996
2021-07,1.95,64.47
2021-09,1.79,66.26
2021-11,1,67.26
2021-12,1.44,68.7
2022-01,0.91,69.61
2022-02,0.81,70.42
2022-03,0.36,70.78
2022-05,0.47,71.25
2022-06,0.62,71.87
2022-08,1.26,73.13000000000001
2022-09,0.61,73.74000000000001
2022-10,0.37,74.11000000000001
2023-05,0.17,74.28000000000002
2023-06,0.76,75.04000000000002
2023-09,1.16,76.20000000000002
2023-11,0.49,76.69000000000001
2023-12,0.74,77.43
2024-03,0.74,78.17
2024-06,0.54,78.71000000000001
2024-08,2.05,80.76
2024-09,1.26,82.02000000000001
2024-10,1.2,83.22000000000001
