Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-02,1,5
2015-03,1,6
2015-04,2,8
2015-05,2,10
2015-06,2,12
2015-07,3,15
2015-08,4,19
2015-09,1,20
2015-11,1,21
2015-12,1,22
2016-01,1,23
2016-02,1,24
2016-03,1,25
2016-04,2,27
2016-05,1,28
2016-06,2,30
2016-07,1,31
2016-08,1,32
2016-09,1,33
2016-11,5,38
2016-12,2,40
2017-01,3,43
2017-02,3,46
2017-03,3,49
2017-04,2,51
2017-05,4,55
2017-06,1,56
2017-07,1,57
2017-08,1,58
2017-09,2,60
2017-10,2,62
2017-11,1,63
2017-12,5,68
2018-01,1,69
2018-02,2,71
2018-03,6,77
2018-04,3,80
2018-05,6,86
2018-06,1,87
2018-07,3,90
2018-08,4,94
2018-09,2,96
2018-10,2,98
2018-11,4,102
2018-12,6,108
2019-01,6,114
2019-02,4,118
2019-03,6,124
2019-04,4,128
2019-05,5,133
2019-06,5,138
2019-07,1,139
2019-08,2,141
2019-09,6,147
2019-10,5,152
2019-11,3,155
2019-12,6,161
2020-01,5,166
2020-02,4,170
2020-03,7,177
2020-04,6,183
2020-05,4,187
2020-06,5,192
2020-07,9,201
2020-08,3,204
2020-09,7,211
2020-10,3,214
2020-11,2,216
2020-12,4,220
2021-01,2,222
2021-02,3,225
2021-03,5,230
2021-04,4,234
2021-05,5,239
2021-06,3,242
2021-07,5,247
2021-08,4,251
2021-09,2,253
2021-10,3,256
2021-11,4,260
2021-12,3,263
2022-01,5,268
2022-02,3,271
2022-03,3,274
2022-04,5,279
2022-05,3,282
2022-06,4,286
2022-07,3,289
2022-08,8,297
2022-09,2,299
2022-10,2,301
2022-11,1,302
2022-12,7,309
2023-01,3,312
2023-02,2,314
2023-03,2,316
2023-04,1,317
2023-05,4,321
2023-06,2,323
2023-07,1,324
2023-09,5,329
2023-12,1,330
2024-01,1,331
2024-02,1,332
2024-03,6,338
2024-04,3,341
2024-05,1,342
2024-06,1,343
2024-07,1,344
2024-08,2,346
2024-09,2,348
