Date,Monthly Value,Accumulated Value
2017-01,3.15,3.15
2017-02,3.99,7.140000000000001
2017-03,5.43,12.57
2017-04,3.06,15.63
2017-05,1.16,16.79
2017-06,3.3,20.09
2017-07,2.09,22.18
2017-08,4.7,26.88
2017-09,3.77,30.65
2017-10,7.61,38.26
2017-11,11.41,49.67
2017-12,10.93,60.6
2018-01,14.13,74.73
2018-02,20.75,95.48
2018-03,24.69,120.17
2018-04,22.96,143.13
2018-05,19.41,162.54
2018-06,24.77,187.31
2018-07,33.32,220.63
2018-08,30.69,251.32
2018-09,26.94,278.26
2018-10,24.47,302.73
2018-11,29.68,332.41
2018-12,30.74,363.15000000000003
2019-01,33.33,396.48
2019-02,33.72,430.20000000000005
2019-03,32.21,462.41
2019-04,33.12,495.53000000000003
2019-05,31.53,527.0600000000001
2019-06,35.21,562.2700000000001
2019-07,37.37,599.6400000000001
2019-08,34.73,634.3700000000001
2019-09,29.5,663.8700000000001
2019-10,30.03,693.9000000000001
2019-11,30.79,724.69
2019-12,37.13,761.82
2020-01,27.63,789.45
2020-02,23.04,812.49
2020-03,27.17,839.66
2020-04,25.22,864.88
2020-05,24.36,889.24
2020-06,30.58,919.82
2020-07,31.54,951.36
2020-08,23.21,974.57
2020-09,22.06,996.63
2020-10,22.27,1018.9
2020-11,24.28,1043.18
2020-12,18.73,1061.91
2021-01,19.08,1080.99
2021-02,17.81,1098.8
2021-03,16.89,1115.69
2021-04,19.55,1135.24
2021-05,18.78,1154.02
2021-06,20.41,1174.43
2021-07,17.81,1192.24
2021-08,16.97,1209.21
2021-09,16.66,1225.8700000000001
2021-10,15,1240.8700000000001
2021-11,13.23,1254.1000000000001
2021-12,11.9,1266.0000000000002
2022-01,12.34,1278.3400000000001
2022-02,11.09,1289.43
2022-03,18.13,1307.5600000000002
2022-04,15.4,1322.9600000000003
2022-05,14.33,1337.2900000000002
2022-06,15.01,1352.3000000000002
2022-07,14.89,1367.1900000000003
2022-08,13.68,1380.8700000000003
2022-09,9.02,1389.8900000000003
2022-10,10.9,1400.7900000000004
2022-11,13.3,1414.0900000000004
2022-12,12.12,1426.2100000000003
2023-01,17.39,1443.6000000000004
2023-02,16.53,1460.1300000000003
2023-03,15.21,1475.3400000000004
2023-04,15.78,1491.1200000000003
2023-05,13.61,1504.7300000000002
2023-06,15.45,1520.1800000000003
2023-07,14.16,1534.3400000000004
2023-08,15.05,1549.3900000000003
2023-09,13.94,1563.3300000000004
2023-10,13.78,1577.1100000000004
2023-11,15.77,1592.8800000000003
2023-12,19.14,1612.0200000000004
2024-01,16.71,1628.7300000000005
2024-02,14.22,1642.9500000000005
2024-03,24.55,1667.5000000000005
2024-04,25.88,1693.3800000000006
2024-05,18.87,1712.2500000000005
2024-06,15.48,1727.7300000000005
2024-07,18.19,1745.9200000000005
2024-08,15.46,1761.3800000000006
2024-09,14.76,1776.1400000000006
2024-10,17.21,1793.3500000000006
