Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-03,2,4
2015-04,3,7
2015-05,4,11
2015-06,2,13
2015-07,7,20
2015-08,7,27
2015-09,6,33
2015-10,1,34
2015-11,4,38
2015-12,5,43
2016-01,2,45
2016-02,2,47
2016-03,3,50
2016-05,3,53
2016-06,2,55
2016-07,7,62
2016-08,15,77
2016-09,11,88
2016-10,14,102
2016-11,6,108
2016-12,6,114
2017-01,18,132
2017-02,19,151
2017-03,10,161
2017-04,9,170
2017-05,9,179
2017-06,7,186
2017-07,27,213
2017-08,11,224
2017-09,10,234
2017-10,6,240
2017-11,10,250
2017-12,17,267
2018-01,30,297
2018-02,10,307
2018-03,5,312
2018-04,5,317
2018-05,10,327
2018-06,10,337
2018-07,12,349
2018-08,1,350
2018-09,4,354
2018-10,6,360
2018-11,6,366
2018-12,5,371
2019-01,1,372
2019-02,8,380
2019-03,40,420
2019-04,1,421
2019-05,4,425
2019-06,2,427
2019-07,1,428
2019-08,2,430
2019-09,8,438
2019-11,1,439
2019-12,2,441
2020-01,5,446
2020-04,3,449
2020-05,2,451
2020-07,2,453
2020-08,2,455
2020-09,2,457
2020-10,2,459
2020-11,1,460
2020-12,1,461
2021-01,3,464
2021-02,3,467
2021-03,2,469
2021-05,1,470
2021-06,2,472
2021-07,5,477
2021-11,1,478
2022-03,4,482
2022-04,1,483
2022-06,2,485
2022-08,1,486
2022-10,3,489
2022-11,3,492
2022-12,1,493
2023-06,1,494
2023-09,10,504
2023-11,10,514
2023-12,1,515
2024-01,2,517
2024-02,4,521
2024-03,5,526
2024-04,5,531
2024-06,2,533
2024-07,3,536
2024-09,15,551
2024-10,8,559
