Date,Monthly Value,Accumulated Value
2018-03,2,2
2018-05,3,5
2018-06,3,8
2018-09,4,12
2018-12,2,14
2019-01,2,16
2019-02,1,17
2019-03,1,18
2019-06,3,21
2019-07,1,22
2019-08,1,23
2019-09,2,25
2019-11,1,26
2020-01,3,29
2020-03,2,31
2020-04,2,33
2020-05,1,34
2020-10,1,35
2020-11,2,37
2020-12,1,38
2021-01,1,39
2021-02,4,43
2021-03,2,45
2021-04,3,48
2021-07,3,51
2021-09,1,52
2021-11,1,53
2021-12,1,54
2022-01,1,55
2022-09,1,56
2022-10,3,59
2022-12,1,60
2023-02,2,62
2023-03,1,63
2024-01,1,64
2024-03,2,66
2024-04,1,67
2024-05,1,68
2024-06,1,69
2024-09,5,74
2024-10,1,75
