Date,Monthly Value,Accumulated Value
2018-02,2,2
2018-03,11,13
2018-04,4,17
2018-05,9,26
2018-06,5,31
2018-07,8,39
2018-08,7,46
2018-09,12,58
2018-10,4,62
2018-11,9,71
2018-12,11,82
2019-01,12,94
2019-02,8,102
2019-03,11,113
2019-04,7,120
2019-05,13,133
2019-06,7,140
2019-07,16,156
2019-08,9,165
2019-09,10,175
2019-10,16,191
2019-11,8,199
2019-12,8,207
2020-01,9,216
2020-02,4,220
2020-03,16,236
2020-04,21,257
2020-05,18,275
2020-06,14,289
2020-07,18,307
2020-08,14,321
2020-09,13,334
2020-10,9,343
2020-11,8,351
2020-12,14,365
2021-01,15,380
2021-02,16,396
2021-03,18,414
2021-04,21,435
2021-05,12,447
2021-06,20,467
2021-07,18,485
2021-08,14,499
2021-09,15,514
2021-10,19,533
2021-11,25,558
2021-12,18,576
2022-01,12,588
2022-02,10,598
2022-03,19,617
2022-04,16,633
2022-05,10,643
2022-06,11,654
2022-07,15,669
2022-08,16,685
2022-09,20,705
2022-10,10,715
2022-11,13,728
2022-12,11,739
2023-01,7,746
2023-02,12,758
2023-03,10,768
2023-04,13,781
2023-05,13,794
2023-06,12,806
2023-07,6,812
2023-08,8,820
2023-09,8,828
2023-10,7,835
2023-11,12,847
2023-12,14,861
2024-01,9,870
2024-02,8,878
2024-03,8,886
2024-04,15,901
2024-05,6,907
2024-06,3,910
2024-07,12,922
2024-08,11,933
2024-09,8,941
2024-10,5,946
