Date,Monthly Value,Accumulated Value
2015-01,21,21
2015-02,35,56
2015-03,14,70
2015-04,62,132
2015-05,19,151
2015-06,33,184
2015-07,2,186
2015-08,14,200
2015-09,14,214
2015-10,13,227
2015-11,7,234
2015-12,32,266
2016-01,146,412
2016-02,72,484
2016-03,62,546
2016-04,29,575
2016-05,25,600
2016-07,10,610
2016-08,18,628
2016-09,137,765
2016-10,67,832
2016-11,61,893
2016-12,58,951
2017-01,26,977
2017-02,19,996
2017-03,57,1053
2017-04,18,1071
2017-05,18,1089
2017-06,5,1094
2017-07,16,1110
2017-08,6,1116
2017-09,6,1122
2017-10,11,1133
2017-11,8,1141
2017-12,30,1171
2018-02,8,1179
2018-03,28,1207
2018-04,5,1212
2018-05,27,1239
2018-06,5,1244
2018-07,37,1281
2018-08,20,1301
2018-09,15,1316
2018-11,19,1335
2018-12,13,1348
2019-01,29,1377
2019-02,6,1383
2019-03,8,1391
2019-04,36,1427
2019-05,1,1428
2019-06,45,1473
2019-07,9,1482
2019-08,41,1523
2019-09,5,1528
2019-10,4,1532
2019-11,17,1549
2020-01,29,1578
2020-02,3,1581
2020-03,9,1590
2020-04,2,1592
2020-05,1,1593
2020-06,18,1611
2020-07,4,1615
2020-11,2,1617
2020-12,7,1624
2021-01,3,1627
2021-02,3,1630
2021-03,3,1633
2021-04,3,1636
2021-05,2,1638
2021-06,41,1679
2021-07,4,1683
2021-09,17,1700
2021-11,10,1710
2021-12,3,1713
2022-02,6,1719
2022-03,22,1741
2022-04,2,1743
2022-05,4,1747
2022-06,1,1748
2022-07,14,1762
2022-08,14,1776
2022-09,76,1852
2022-10,13,1865
2022-11,13,1878
2023-02,3,1881
2023-05,6,1887
2023-07,4,1891
2023-08,7,1898
2023-09,10,1908
2023-10,8,1916
2023-11,2,1918
2023-12,5,1923
2024-01,14,1937
2024-03,29,1966
2024-04,4,1970
2024-05,7,1977
2024-09,36,2013
2024-10,9,2022
