Date,Monthly Value,Accumulated Value
2015-03,57,57
2015-05,23,80
2015-06,15,95
2015-07,32,127
2015-08,10,137
2015-09,8,145
2015-10,8,153
2015-11,6,159
2015-12,14,173
2016-01,28,201
2016-02,17,218
2016-03,56,274
2016-04,28,302
2016-05,32,334
2016-06,22,356
2016-07,4,360
2016-08,29,389
2016-09,12,401
2016-10,8,409
2016-11,48,457
2016-12,26,483
2017-01,6,489
2017-02,40,529
2017-03,43,572
2017-04,83,655
2017-05,69,724
2017-06,65,789
2017-07,74,863
2017-08,10,873
2017-09,100,973
2017-10,145,1118
2017-11,90,1208
2017-12,28,1236
2018-01,104,1340
2018-02,105,1445
2018-03,25,1470
2018-04,24,1494
2018-05,34,1528
2018-06,52,1580
2018-07,41,1621
2018-08,102,1723
2018-09,44,1767
2018-10,40,1807
2018-11,39,1846
2018-12,30,1876
2019-01,30,1906
2019-02,32,1938
2019-03,35,1973
2019-04,51,2024
2019-05,29,2053
2019-06,15,2068
2019-07,61,2129
2019-08,26,2155
2019-09,34,2189
2019-10,34,2223
2019-11,34,2257
2019-12,60,2317
2020-01,65,2382
2020-02,43,2425
2020-03,46,2471
2020-04,32,2503
2020-05,32,2535
2020-06,30,2565
2020-07,122,2687
2020-08,25,2712
2020-09,34,2746
2020-10,28,2774
2020-11,28,2802
2020-12,42,2844
2021-01,34,2878
2021-02,75,2953
2021-03,31,2984
2021-04,46,3030
2021-05,53,3083
2021-06,44,3127
2021-07,35,3162
2021-08,73,3235
2021-09,58,3293
2021-10,47,3340
2021-11,38,3378
2021-12,16,3394
2022-01,48,3442
2022-02,35,3477
2022-03,79,3556
2022-04,106,3662
2022-05,12,3674
2022-06,20,3694
2022-07,21,3715
2022-08,27,3742
2022-09,58,3800
2022-10,19,3819
2022-11,12,3831
2022-12,31,3862
2023-01,3,3865
2023-02,6,3871
2023-03,46,3917
2023-04,47,3964
2023-05,54,4018
2023-06,47,4065
2023-07,47,4112
2023-08,24,4136
2023-09,26,4162
2023-10,5,4167
2023-11,24,4191
2023-12,8,4199
2024-01,11,4210
2024-02,41,4251
2024-03,25,4276
2024-04,41,4317
2024-05,5,4322
2024-06,51,4373
2024-07,15,4388
2024-08,35,4423
2024-09,75,4498
2024-10,36,4534
