Date,Monthly Value,Accumulated Value
2015-01,2298,2298
2015-02,1366,3664
2015-03,7995,11659
2015-04,8744,20403
2015-05,39458,59861
2015-06,32806,92667
2015-07,8163,100830
2015-08,6239,107069
2015-09,7978,115047
2015-10,5496,120543
2015-11,6051,126594
2015-12,2388,128982
2016-01,7502,136484
2016-02,22160,158644
2016-03,27318,185962
2016-04,37281,223243
2016-05,19323,242566
2016-06,4449,247015
2016-07,3188,250203
2016-08,12765,262968
2016-09,35153,298121
2016-10,12809,310930
2016-11,14489,325419
2016-12,13167,338586
2017-01,12985,351571
2017-02,27727,379298
2017-03,115814,495112
2017-04,6809,501921
2017-05,28439,530360
2017-06,80606,610966
2017-07,63011,673977
2017-08,5202,679179
2017-09,133398,812577
2017-10,31881,844458
2017-11,140506,984964
2017-12,2573,987537
2018-01,96115,1083652
2018-02,10632,1094284
2018-03,7762,1102046
2018-04,7815,1109861
2018-05,24483,1134344
2018-06,10439,1144783
2018-07,2929,1147712
2018-08,13404,1161116
2018-09,36264,1197380
2018-10,10337,1207717
2018-11,3194,1210911
2018-12,9182,1220093
2019-01,3574,1223667
2019-02,8132,1231799
2019-03,19315,1251114
2019-04,132650,1383764
2019-05,62739,1446503
2019-06,196453,1642956
2019-07,15230,1658186
2019-08,57142,1715328
2019-09,161272,1876600
2019-10,5058,1881658
2019-11,1685,1883343
2019-12,6635,1889978
2020-01,11846,1901824
2020-02,4357,1906181
2020-03,101632,2007813
2020-04,75255,2083068
2020-05,6465,2089533
2020-06,5205,2094738
2020-07,14816,2109554
2020-08,7443,2116997
2020-09,2823,2119820
2020-10,3397,2123217
2020-11,46163,2169380
2020-12,1539,2170919
2021-01,2260,2173179
2021-02,7373,2180552
2021-03,10409,2190961
2021-04,34621,2225582
2021-05,60557,2286139
2021-06,3057,2289196
2021-07,4724,2293920
2021-08,4804,2298724
2021-09,4826,2303550
2021-10,549,2304099
2021-11,3795,2307894
2021-12,7971,2315865
2022-01,16063,2331928
2022-02,23173,2355101
2022-03,5039,2360140
2022-04,10267,2370407
2022-05,3666,2374073
2022-06,4653,2378726
2022-07,5192,2383918
2022-08,5126,2389044
2022-09,6913,2395957
2022-10,3307,2399264
2022-11,1420,2400684
2022-12,3869,2404553
2023-01,120122,2524675
2023-02,2983,2527658
2023-03,47290,2574948
2023-04,64169,2639117
2023-05,1508,2640625
2023-06,3968,2644593
2023-07,5155,2649748
2023-08,20193,2669941
2023-09,8999,2678940
2023-10,6160,2685100
2023-11,81677,2766777
2023-12,1229,2768006
2024-01,37607,2805613
2024-02,194386,2999999
2024-03,29162,3029161
2024-04,90467,3119628
2024-05,93663,3213291
2024-06,5597,3218888
2024-07,42481,3261369
2024-08,2335,3263704
2024-09,8586,3272290
2024-10,104150,3376440
