Date,Monthly Value,Accumulated Value
2015-01,147,147
2015-02,127,274
2015-03,165,439
2015-04,113,552
2015-05,139,691
2015-06,241,932
2015-07,210,1142
2015-08,178,1320
2015-09,190,1510
2015-10,239,1749
2015-11,218,1967
2015-12,186,2153
2016-01,167,2320
2016-02,215,2535
2016-03,201,2736
2016-04,212,2948
2016-05,206,3154
2016-06,155,3309
2016-07,232,3541
2016-08,240,3781
2016-09,239,4020
2016-10,155,4175
2016-11,229,4404
2016-12,220,4624
2017-01,306,4930
2017-02,261,5191
2017-03,303,5494
2017-04,232,5726
2017-05,290,6016
2017-06,239,6255
2017-07,227,6482
2017-08,176,6658
2017-09,280,6938
2017-10,314,7252
2017-11,316,7568
2017-12,179,7747
2018-01,338,8085
2018-02,340,8425
2018-03,345,8770
2018-04,222,8992
2018-05,230,9222
2018-06,242,9464
2018-07,278,9742
2018-08,209,9951
2018-09,282,10233
2018-10,325,10558
2018-11,239,10797
2018-12,168,10965
2019-01,173,11138
2019-02,185,11323
2019-03,257,11580
2019-04,240,11820
2019-05,288,12108
2019-06,298,12406
2019-07,307,12713
2019-08,273,12986
2019-09,294,13280
2019-10,307,13587
2019-11,321,13908
2019-12,265,14173
2020-01,427,14600
2020-02,307,14907
2020-03,323,15230
2020-04,465,15695
2020-05,315,16010
2020-06,488,16498
2020-07,457,16955
2020-08,405,17360
2020-09,374,17734
2020-10,399,18133
2020-11,297,18430
2020-12,294,18724
2021-01,405,19129
2021-02,352,19481
2021-03,343,19824
2021-04,430,20254
2021-05,346,20600
2021-06,375,20975
2021-07,381,21356
2021-08,259,21615
2021-09,276,21891
2021-10,293,22184
2021-11,334,22518
2021-12,274,22792
2022-01,369,23161
2022-02,345,23506
2022-03,418,23924
2022-04,270,24194
2022-05,306,24500
2022-06,239,24739
2022-07,288,25027
2022-08,237,25264
2022-09,302,25566
2022-10,303,25869
2022-11,448,26317
2022-12,199,26516
2023-01,312,26828
2023-02,344,27172
2023-03,325,27497
2023-04,305,27802
2023-05,384,28186
2023-06,373,28559
2023-07,400,28959
2023-08,431,29390
2023-09,405,29795
2023-10,458,30253
2023-11,388,30641
2023-12,267,30908
2024-01,357,31265
2024-02,343,31608
2024-03,269,31877
2024-04,375,32252
2024-05,319,32571
2024-06,262,32833
2024-07,331,33164
2024-08,353,33517
2024-09,329,33846
2024-10,383,34229
