Date,Monthly Value,Accumulated Value
2015-01,209,209
2015-02,173,382
2015-03,251,633
2015-04,243,876
2015-05,225,1101
2015-06,232,1333
2015-07,273,1606
2015-08,269,1875
2015-09,273,2148
2015-10,263,2411
2015-11,271,2682
2015-12,281,2963
2016-01,267,3230
2016-02,183,3413
2016-03,339,3752
2016-04,315,4067
2016-05,358,4425
2016-06,302,4727
2016-07,332,5059
2016-08,359,5418
2016-09,319,5737
2016-10,282,6019
2016-11,339,6358
2016-12,316,6674
2017-01,283,6957
2017-02,273,7230
2017-03,417,7647
2017-04,379,8026
2017-05,364,8390
2017-06,425,8815
2017-07,391,9206
2017-08,395,9601
2017-09,387,9988
2017-10,371,10359
2017-11,372,10731
2017-12,355,11086
2018-01,381,11467
2018-02,281,11748
2018-03,529,12277
2018-04,445,12722
2018-05,364,13086
2018-06,330,13416
2018-07,403,13819
2018-08,406,14225
2018-09,356,14581
2018-10,391,14972
2018-11,462,15434
2018-12,477,15911
2019-01,484,16395
2019-02,491,16886
2019-03,774,17660
2019-04,706,18366
2019-05,693,19059
2019-06,650,19709
2019-07,737,20446
2019-08,834,21280
2019-09,659,21939
2019-10,650,22589
2019-11,697,23286
2019-12,717,24003
2020-01,529,24532
2020-02,441,24973
2020-03,677,25650
2020-04,744,26394
2020-05,736,27130
2020-06,626,27756
2020-07,667,28423
2020-08,589,29012
2020-09,596,29608
2020-10,483,30091
2020-11,539,30630
2020-12,564,31194
2021-01,554,31748
2021-02,439,32187
2021-03,539,32726
2021-04,552,33278
2021-05,393,33671
2021-06,454,34125
2021-07,455,34580
2021-08,400,34980
2021-09,400,35380
2021-10,435,35815
2021-11,468,36283
2021-12,476,36759
2022-01,427,37186
2022-02,338,37524
2022-03,522,38046
2022-04,458,38504
2022-05,367,38871
2022-06,336,39207
2022-07,330,39537
2022-08,454,39991
2022-09,332,40323
2022-10,310,40633
2022-11,375,41008
2022-12,277,41285
2023-01,227,41512
2023-02,324,41836
2023-03,391,42227
2023-04,342,42569
2023-05,263,42832
2023-06,244,43076
2023-07,263,43339
2023-08,292,43631
2023-09,276,43907
2023-10,213,44120
2023-11,215,44335
2023-12,195,44530
2024-01,219,44749
2024-02,185,44934
2024-03,237,45171
2024-04,307,45478
2024-05,201,45679
2024-06,175,45854
2024-07,220,46074
2024-08,198,46272
2024-09,176,46448
2024-10,192,46640
