Date,Monthly Value,Accumulated Value
2020-07,660,660
2020-08,900,1560
2020-09,518,2078
2020-10,90,2168
2020-11,155,2323
2020-12,155,2478
2021-01,51,2529
2021-02,6,2535
2021-03,393,2928
2021-04,4282,7210
2021-05,74,7284
2021-06,3142,10426
2021-07,1716,12142
2021-08,91,12233
2021-09,349,12582
2021-10,60,12642
2021-11,13072,25714
2021-12,1026,26740
2022-01,986,27726
2022-02,1685,29411
2022-03,2448,31859
2022-04,9842,41701
2022-05,609,42310
2022-06,205,42515
2022-07,6,42521
2022-08,43,42564
2022-09,107,42671
2022-10,336,43007
2022-11,199,43206
2022-12,212,43418
2023-02,179,43597
2023-03,2617,46214
2023-04,121,46335
2023-05,2,46337
2023-06,21,46358
2023-07,747,47105
2023-08,2626,49731
2023-09,286,50017
2023-10,17,50034
2023-11,104,50138
2024-01,12,50150
2024-02,86,50236
2024-03,3,50239
2024-04,128,50367
2024-05,190,50557
2024-06,29,50586
2024-09,197,50783
2024-10,129,50912
