target_dependency,dependent_library,version,release_timestamp
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,5.1.0,1728650008504
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,4.0.1,1680631765000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,4.0.5,1707514679394
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,5.0.0,1714698545600
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.5.1,1677102207000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,4.0.4,1696274847072
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.5.2,1680544341000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,4.0.0,1677858874000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,4.0.3,1695156725080
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,5.0.1,1720790109349
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,4.0.2,1690545439000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.5.0,1670952368000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.4.1,1655233196000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.3.0,1632254587000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.2.3,1655215330000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.2.0,1618228989000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.2.1,1632269556000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.2.2,1639062646000
org.locationtech.geomesa:geomesa-security_2.12,org.springframework.security:spring-security-core,3.4.0,1650309873000
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.2.0-RC2,1730464227735
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.2,1731045586085
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.2.0-RC1,1728038649146
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC6,1723185064582
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.9,1727420835309
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.1,1728022321731
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.10,1730446814660
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0,1725601050872
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.7,1725081676490
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC5,1720771702278
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.6,1722005065882
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.8,1726212224065
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,6.6.15.2,1718789452980
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.5,1718865200531
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC4,1717140927053
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.4,1714118527442
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.4.1,1715966567723
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,6.6.15.1,1716018040892
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC3,1714205885118
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.5.1,1719336968924
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.2,1731045586085
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.10,1730446814660
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.2.0-RC2,1730464227735
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0,1725601050872
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.6,1722005065882
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.8,1726212224065
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.7,1725081676490
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC5,1720771702278
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.2.0-RC1,1728038649146
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.9,1727420835309
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.1,1728022321731
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC6,1723185064582
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.5,1718865200531
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.5.1,1719336968924
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,6.6.15.2,1718789452980
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC3,1714205885118
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,6.6.15.1,1716018040892
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.4,1714118527442
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.1.0-RC4,1717140927053
org.apereo.cas:cas-server-core-cookie-api,org.springframework.security:spring-security-core,7.0.4.1,1715966567723
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
de.skiptag.roadrunner:roadrunner-spring,org.springframework.security:spring-security-core,0.1,1377723024000,2013-08-28
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.9,1727424943991,2024-09-27
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.2,1731049544654,2024-11-08
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.10,1730450425144,2024-11-01
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.2.0-RC2,1730467931220,2024-11-01
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.6,1722009596693,2024-07-26
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.2.0-RC1,1728042067512,2024-10-04
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC5,1720776187794,2024-07-12
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0,1725604879324,2024-09-06
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC6,1723189021025,2024-08-09
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.8,1726216742236,2024-09-13
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.7,1725085765822,2024-08-31
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.1,1728025741858,2024-10-04
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,6.6.15.2,1718789919162,2024-06-19
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,6.6.15.1,1716018460844,2024-05-18
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.4.1,1715970763265,2024-05-17
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.5.1,1719340640122,2024-06-25
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC3,1714214589561,2024-04-27
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.4,1714125810160,2024-04-26
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.5,1718869521695,2024-06-20
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC4,1717144790269,2024-05-31
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.2.0-RC2,1730467931220,2024-11-01
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.2,1731049544654,2024-11-08
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.1,1728025741858,2024-10-04
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC5,1720776187794,2024-07-12
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC6,1723189021025,2024-08-09
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.2.0-RC1,1728042067512,2024-10-04
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.7,1725085765822,2024-08-31
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.6,1722009596693,2024-07-26
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.9,1727424943991,2024-09-27
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0,1725604879324,2024-09-06
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.8,1726216742236,2024-09-13
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.10,1730450425144,2024-11-01
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.5,1718869521695,2024-06-20
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.4,1714125810160,2024-04-26
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC3,1714214589561,2024-04-27
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.1.0-RC4,1717144790269,2024-05-31
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,6.6.15.2,1718789919162,2024-06-19
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,7.0.4.1,1715970763265,2024-05-17
org.apereo.cas:cas-server-support-passwordless-ldap,org.springframework.security:spring-security-core,6.6.15.1,1716018460844,2024-05-18
