Date,Monthly Value,Accumulated Value
2015-01,28,28
2015-02,29,57
2015-03,38,95
2015-04,40,135
2015-05,19,154
2015-06,30,184
2015-07,39,223
2015-08,37,260
2015-09,25,285
2015-10,28,313
2015-11,48,361
2015-12,37,398
2016-01,35,433
2016-02,44,477
2016-03,81,558
2016-04,48,606
2016-05,57,663
2016-06,62,725
2016-07,46,771
2016-08,55,826
2016-09,42,868
2016-10,49,917
2016-11,50,967
2016-12,52,1019
2017-01,46,1065
2017-02,40,1105
2017-03,71,1176
2017-04,55,1231
2017-05,58,1289
2017-06,54,1343
2017-07,60,1403
2017-08,73,1476
2017-09,57,1533
2017-10,67,1600
2017-11,89,1689
2017-12,79,1768
2018-01,90,1858
2018-02,73,1931
2018-03,101,2032
2018-04,97,2129
2018-05,77,2206
2018-06,97,2303
2018-07,94,2397
2018-08,84,2481
2018-09,80,2561
2018-10,88,2649
2018-11,98,2747
2018-12,81,2828
2019-01,101,2929
2019-02,77,3006
2019-03,111,3117
2019-04,107,3224
2019-05,122,3346
2019-06,86,3432
2019-07,130,3562
2019-08,118,3680
2019-09,123,3803
2019-10,97,3900
2019-11,111,4011
2019-12,171,4182
2020-01,104,4286
2020-02,127,4413
2020-03,140,4553
2020-04,160,4713
2020-05,168,4881
2020-06,131,5012
2020-07,134,5146
2020-08,93,5239
2020-09,107,5346
2020-10,106,5452
2020-11,99,5551
2020-12,103,5654
2021-01,117,5771
2021-02,89,5860
2021-03,118,5978
2021-04,93,6071
2021-05,104,6175
2021-06,90,6265
2021-07,88,6353
2021-08,71,6424
2021-09,91,6515
2021-10,84,6599
2021-11,79,6678
2021-12,94,6772
2022-01,89,6861
2022-02,78,6939
2022-03,106,7045
2022-04,88,7133
2022-05,90,7223
2022-06,81,7304
2022-07,76,7380
2022-08,91,7471
2022-09,88,7559
2022-10,79,7638
2022-11,96,7734
2022-12,65,7799
2023-01,87,7886
2023-02,76,7962
2023-03,102,8064
2023-04,92,8156
2023-05,82,8238
2023-06,69,8307
2023-07,74,8381
2023-08,85,8466
2023-09,95,8561
2023-10,71,8632
2023-11,62,8694
2023-12,68,8762
2024-01,73,8835
2024-02,64,8899
2024-03,75,8974
2024-04,84,9058
2024-05,71,9129
2024-06,88,9217
2024-07,81,9298
2024-08,89,9387
2024-09,53,9440
2024-10,69,9509
