Date,Monthly Value,Accumulated Value
2015-01,6,6
2015-02,6,12
2015-03,1,13
2015-04,2,15
2015-05,4,19
2015-06,4,23
2015-07,1,24
2015-08,5,29
2015-09,2,31
2015-11,8,39
2015-12,1,40
2016-01,2,42
2016-02,12,54
2016-03,25,79
2016-04,20,99
2016-05,8,107
2016-06,10,117
2016-08,11,128
2016-09,14,142
2016-10,7,149
2016-11,5,154
2016-12,1,155
2017-01,6,161
2017-02,1,162
2017-03,4,166
2017-05,6,172
2017-06,4,176
2017-07,9,185
2017-08,7,192
2017-09,5,197
2017-10,7,204
2017-11,7,211
2017-12,1,212
2018-01,2,214
2018-02,1,215
2018-03,2,217
2018-04,3,220
2018-05,1,221
2018-06,1,222
2018-07,3,225
2018-08,5,230
2018-09,1,231
2018-11,1,232
2018-12,4,236
2019-01,1,237
2019-02,1,238
2019-03,33,271
2019-05,2,273
2019-06,3,276
2019-08,2,278
2019-09,2,280
2019-10,3,283
2019-11,4,287
2019-12,2,289
2020-02,3,292
2020-03,1,293
2020-04,1,294
2020-05,1,295
2020-06,2,297
2020-07,4,301
2020-08,13,314
2020-09,2,316
2020-10,5,321
2020-11,3,324
2020-12,1,325
2021-01,1,326
2021-03,2,328
2021-05,1,329
2021-06,3,332
2021-08,3,335
2021-09,2,337
2021-10,2,339
2021-11,2,341
2021-12,1,342
2022-01,2,344
2022-03,2,346
2022-04,2,348
2022-05,7,355
2022-06,2,357
2022-07,1,358
2022-08,9,367
2022-09,9,376
2022-10,11,387
2022-11,5,392
2023-01,4,396
2023-02,4,400
2023-03,2,402
2023-07,4,406
2023-08,7,413
2023-09,2,415
2023-10,88,503
2023-11,59,562
2023-12,36,598
2024-01,41,639
2024-02,32,671
2024-03,62,733
2024-04,43,776
2024-05,41,817
2024-06,48,865
2024-07,38,903
2024-08,56,959
2024-09,25,984
2024-10,23,1007
