Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-02,2,6
2015-03,1,7
2015-04,1,8
2015-08,1,9
2015-11,1,10
2015-12,1,11
2016-01,1,12
2016-02,1,13
2016-03,8,21
2016-04,10,31
2016-05,4,35
2016-06,2,37
2016-08,7,44
2016-09,6,50
2016-11,3,53
2017-01,1,54
2017-03,1,55
2017-05,7,62
2017-06,1,63
2017-07,4,67
2017-08,3,70
2017-09,4,74
2017-10,5,79
2018-01,1,80
2018-05,1,81
2018-06,1,82
2018-07,1,83
2018-08,1,84
2019-02,1,85
2019-03,10,95
2019-04,10,105
2019-06,2,107
2020-02,2,109
2020-03,1,110
2020-04,1,111
2020-06,1,112
2020-07,4,116
2020-08,2,118
2020-09,2,120
2020-10,3,123
2020-11,3,126
2021-01,1,127
2021-03,1,128
2021-05,1,129
2021-06,2,131
2021-07,1,132
2021-08,1,133
2021-09,1,134
2021-11,1,135
2021-12,1,136
2022-01,3,139
2022-04,2,141
2022-05,2,143
2022-07,1,144
2022-08,6,150
2022-09,6,156
2022-10,11,167
2022-11,4,171
2023-01,2,173
2023-03,1,174
2023-07,1,175
2023-08,2,177
2023-09,4,181
2023-10,76,257
2023-11,45,302
2023-12,30,332
2024-01,32,364
2024-02,25,389
2024-03,54,443
2024-04,33,476
2024-05,41,517
2024-06,42,559
2024-07,36,595
2024-08,53,648
2024-09,21,669
2024-10,22,691
