Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,4,6
2015-03,9,15
2015-04,5,20
2015-05,3,23
2015-06,3,26
2015-07,4,30
2015-08,2,32
2015-09,2,34
2015-10,1,35
2015-12,3,38
2016-01,3,41
2016-02,4,45
2016-03,1,46
2016-04,13,59
2016-05,2,61
2016-06,9,70
2016-07,6,76
2016-08,8,84
2016-09,4,88
2016-10,2,90
2016-12,2,92
2017-01,3,95
2017-02,3,98
2017-04,3,101
2017-05,4,105
2017-09,2,107
2017-11,1,108
2018-01,5,113
2018-02,15,128
2018-03,3,131
2018-04,40,171
2018-05,25,196
2018-06,3,199
2018-07,18,217
2018-08,11,228
2018-09,5,233
2018-10,8,241
2018-11,5,246
2018-12,3,249
2019-01,10,259
2019-03,5,264
2019-04,26,290
2019-05,4,294
2019-06,8,302
2019-07,15,317
2019-08,10,327
2019-09,3,330
2019-10,8,338
2019-11,2,340
2019-12,3,343
2020-01,3,346
2020-02,4,350
2020-03,4,354
2020-04,1,355
2020-05,9,364
2020-06,6,370
2020-07,1,371
2020-08,15,386
2020-09,13,399
2020-10,7,406
2020-11,27,433
2020-12,39,472
2021-01,14,486
2021-02,12,498
2021-03,6,504
2021-04,10,514
2021-05,14,528
2021-06,5,533
2021-07,9,542
2021-08,10,552
2021-09,16,568
2021-10,9,577
2021-11,4,581
2021-12,5,586
2022-01,3,589
2022-02,1,590
2022-03,9,599
2022-04,1,600
2022-06,3,603
2022-07,4,607
2022-08,22,629
2022-11,1,630
2022-12,8,638
2023-01,25,663
2023-02,15,678
2023-03,9,687
2023-04,5,692
2023-05,4,696
2023-06,18,714
2023-07,31,745
2023-08,9,754
2023-09,10,764
2023-10,7,771
2023-11,6,777
2023-12,17,794
2024-01,10,804
2024-02,20,824
2024-03,7,831
2024-04,5,836
2024-05,4,840
2024-06,4,844
2024-07,6,850
2024-08,8,858
2024-09,8,866
2024-10,12,878
