Date,Monthly Value,Accumulated Value
2017-06,163,163
2017-07,205,368
2017-08,2,370
2017-09,256,626
2017-10,6198,6824
2017-11,2121,8945
2017-12,5398,14343
2018-01,55332,69675
2018-02,28117,97792
2018-03,7788,105580
2018-04,19294,124874
2018-05,12036,136910
2018-06,12630,149540
2018-07,50875,200415
2018-08,34140,234555
2018-09,29658,264213
2018-10,17107,281320
2018-11,7307,288627
2018-12,13290,301917
2019-01,18667,320584
2019-02,24968,345552
2019-03,26912,372464
2019-04,25016,397480
2019-05,22534,420014
2019-06,24547,444561
2019-07,16988,461549
2019-08,21515,483064
2019-09,33052,516116
2019-10,24152,540268
2019-11,36120,576388
2019-12,31811,608199
2020-01,40478,648677
2020-02,27184,675861
2020-03,40539,716400
2020-04,55612,772012
2020-05,116656,888668
2020-06,36475,925143
2020-07,26322,951465
2020-08,25095,976560
2020-09,81749,1058309
2020-10,78348,1136657
2020-11,22397,1159054
2020-12,36384,1195438
2021-01,50017,1245455
2021-02,144805,1390260
2021-03,221637,1611897
2021-04,27029,1638926
2021-05,39460,1678386
2021-06,113358,1791744
2021-07,20532,1812276
2021-08,23015,1835291
2021-09,12393,1847684
2021-10,2146,1849830
2021-11,21057,1870887
2021-12,17007,1887894
2022-01,18233,1906127
2022-02,14488,1920615
2022-03,23402,1944017
2022-04,33924,1977941
2022-05,26019,2003960
2022-06,7626,2011586
2022-07,25310,2036896
2022-08,9903,2046799
2022-09,32910,2079709
2022-10,9581,2089290
2022-11,45616,2134906
2022-12,12314,2147220
2023-01,23432,2170652
2023-02,51264,2221916
2023-03,18982,2240898
2023-04,62758,2303656
2023-05,56877,2360533
2023-06,63225,2423758
2023-07,32663,2456421
2023-08,22534,2478955
2023-09,15512,2494467
2023-10,18566,2513033
2023-11,16909,2529942
2023-12,21596,2551538
2024-01,28914,2580452
2024-02,43163,2623615
2024-03,35780,2659395
2024-04,69972,2729367
2024-05,85309,2814676
2024-06,25205,2839881
2024-07,15028,2854909
2024-08,82377,2937286
2024-09,41439,2978725
2024-10,25775,3004500
