Date,Monthly Value,Accumulated Value
2017-07,2,2
2017-08,1,3
2017-10,4,7
2017-11,1,8
2018-01,3,11
2018-03,3,14
2018-04,2,16
2018-05,1,17
2018-06,2,19
2018-07,4,23
2018-08,1,24
2018-09,2,26
2018-10,1,27
2018-11,2,29
2019-01,2,31
2019-02,3,34
2019-03,2,36
2019-04,2,38
2019-05,1,39
2019-06,1,40
2019-07,7,47
2019-08,2,49
2019-09,1,50
2019-10,6,56
2019-11,3,59
2019-12,1,60
2020-01,7,67
2020-02,1,68
2020-03,2,70
2020-04,6,76
2020-05,2,78
2020-06,3,81
2020-07,3,84
2020-08,6,90
2020-09,4,94
2020-10,2,96
2020-11,4,100
2020-12,4,104
2021-01,9,113
2021-02,1,114
2021-03,4,118
2021-04,5,123
2021-05,2,125
2021-06,5,130
2021-07,2,132
2021-08,4,136
2021-09,2,138
2021-11,8,146
2021-12,4,150
2022-01,3,153
2022-02,2,155
2022-03,1,156
2022-04,2,158
2022-05,2,160
2022-07,2,162
2022-08,3,165
2022-09,6,171
2022-10,5,176
2022-11,5,181
2022-12,3,184
2023-01,1,185
2023-02,3,188
2023-03,3,191
2023-04,5,196
2023-05,1,197
2023-06,7,204
2023-07,2,206
2023-08,3,209
2023-09,3,212
2023-10,2,214
2023-11,1,215
2023-12,3,218
2024-01,2,220
2024-02,2,222
2024-03,5,227
2024-04,7,234
2024-05,3,237
2024-06,5,242
2024-07,4,246
2024-08,6,252
2024-10,1,253
