Date,Monthly Value,Accumulated Value
2015-01,148.06,148.06
2015-02,152.6,300.65999999999997
2015-03,190.42,491.0799999999999
2015-04,221.76,712.8399999999999
2015-05,195.89,908.7299999999999
2015-06,206.07,1114.8
2015-07,175.45,1290.25
2015-08,161.25,1451.5
2015-09,145.7,1597.2
2015-10,177.39,1774.5900000000001
2015-11,155.03,1929.6200000000001
2015-12,144.71,2074.33
2016-01,163.01,2237.34
2016-02,162.07,2399.4100000000003
2016-03,160.68,2560.09
2016-04,159.62,2719.71
2016-05,137.9,2857.61
2016-06,157.66,3015.27
2016-07,146.97,3162.24
2016-08,181.64,3343.8799999999997
2016-09,156.83,3500.7099999999996
2016-10,122.01,3622.72
2016-11,161.05,3783.77
2016-12,106.44,3890.21
2017-01,137.74,4027.95
2017-02,131.86,4159.8099999999995
2017-03,264.88,4424.69
2017-04,284.82,4709.509999999999
2017-05,293.01,5002.5199999999995
2017-06,326.63,5329.15
2017-07,278.97,5608.12
2017-08,241.72,5849.84
2017-09,168.45,6018.29
2017-10,224.2,6242.49
2017-11,215.3,6457.79
2017-12,172.45,6630.24
2018-01,213.09,6843.33
2018-02,205.06,7048.39
2018-03,235.62,7284.01
2018-04,185.6,7469.610000000001
2018-05,186.98,7656.59
2018-06,135.58,7792.17
2018-07,158.76,7950.93
2018-08,156.84,8107.77
2018-09,122.84,8230.61
2018-10,144.72,8375.33
2018-11,124.4,8499.73
2018-12,71.47,8571.199999999999
2019-01,116.57,8687.769999999999
2019-02,118.36,8806.13
2019-03,146.85,8952.98
2019-04,134.58,9087.56
2019-05,121.17,9208.73
2019-06,104.21,9312.939999999999
2019-07,128.02,9440.96
2019-08,121.66,9562.619999999999
2019-09,105.28,9667.9
2019-10,100,9767.9
2019-11,117.3,9885.199999999999
2019-12,91.96,9977.159999999998
2020-01,120.94,10098.099999999999
2020-02,102.56,10200.659999999998
2020-03,141.35,10342.009999999998
2020-04,109.1,10451.109999999999
2020-05,159.55,10610.659999999998
2020-06,180.59,10791.249999999998
2020-07,166.08,10957.329999999998
2020-08,111.61,11068.939999999999
2020-09,137.2,11206.14
2020-10,189.06,11395.199999999999
2020-11,126.49,11521.689999999999
2020-12,105.33,11627.019999999999
2021-01,119.63,11746.649999999998
2021-02,144.07,11890.719999999998
2021-03,130.38,12021.099999999997
2021-04,102.59,12123.689999999997
2021-05,129.71,12253.399999999996
2021-06,96.01,12349.409999999996
2021-07,78.18,12427.589999999997
2021-08,72.76,12500.349999999997
2021-09,92.06,12592.409999999996
2021-10,96,12688.409999999996
2021-11,113.12,12801.529999999997
2021-12,88.94,12890.469999999998
2022-01,132.34,13022.809999999998
2022-02,87.36,13110.169999999998
2022-03,167.63,13277.799999999997
2022-04,92.82,13370.619999999997
2022-05,92.68,13463.299999999997
2022-06,59.94,13523.239999999998
2022-07,87.91,13611.149999999998
2022-08,93.19,13704.339999999998
2022-09,99.65,13803.989999999998
2022-10,123.97,13927.959999999997
2022-11,85.8,14013.759999999997
2022-12,56.89,14070.649999999996
2023-01,63.67,14134.319999999996
2023-02,87.2,14221.519999999997
2023-03,120.57,14342.089999999997
2023-04,86.2,14428.289999999997
2023-05,105.71,14533.999999999996
2023-06,101.49,14635.489999999996
2023-07,106.46,14741.949999999995
2023-08,98.89,14840.839999999995
2023-09,119.3,14960.139999999994
2023-10,112.23,15072.369999999994
2023-11,90.97,15163.339999999993
2023-12,58.31,15221.649999999992
2024-01,117.16,15338.809999999992
2024-02,107.8,15446.609999999991
2024-03,125.17,15571.779999999992
2024-04,135.75,15707.529999999992
2024-05,113.24,15820.769999999991
2024-06,83.84,15904.609999999991
2024-07,79.45,15984.059999999992
2024-08,51.52,16035.579999999993
2024-09,70.49,16106.069999999992
2024-10,98.25,16204.319999999992
