Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-03,2,3
2015-05,6,9
2015-06,7,16
2015-07,4,20
2015-09,3,23
2015-11,6,29
2015-12,3,32
2016-02,8,40
2016-03,8,48
2016-04,6,54
2016-05,3,57
2016-06,5,62
2016-07,2,64
2016-08,3,67
2016-09,1,68
2016-10,7,75
2016-11,2,77
2016-12,1,78
2017-01,2,80
2017-02,1,81
2017-04,2,83
2017-07,4,87
2017-08,6,93
2017-09,3,96
2017-10,1,97
2017-11,2,99
2017-12,1,100
2018-01,6,106
2018-09,2,108
2019-04,2,110
2019-08,3,113
2019-09,2,115
2019-10,4,119
2020-01,6,125
2020-02,1,126
2020-03,5,131
2020-07,2,133
2020-09,2,135
2020-10,1,136
2021-02,1,137
2021-05,2,139
2021-08,1,140
2021-09,5,145
2022-09,1,146
2023-01,2,148
2023-02,1,149
2023-04,1,150
2023-10,3,153
2024-03,2,155
2024-08,5,160
2024-09,1,161
