Date,Monthly Value,Accumulated Value
2015-01,25,25
2015-02,43,68
2015-03,25,93
2015-04,27,120
2015-05,29,149
2015-06,37,186
2015-07,24,210
2015-08,31,241
2015-09,38,279
2015-10,26,305
2015-11,32,337
2015-12,31,368
2016-01,31,399
2016-02,33,432
2016-03,49,481
2016-04,37,518
2016-05,45,563
2016-06,39,602
2016-07,15,617
2016-08,37,654
2016-09,40,694
2016-10,21,715
2016-11,43,758
2016-12,49,807
2017-01,32,839
2017-02,27,866
2017-03,49,915
2017-04,34,949
2017-05,24,973
2017-06,24,997
2017-07,30,1027
2017-08,29,1056
2017-09,31,1087
2017-10,41,1128
2017-11,34,1162
2017-12,23,1185
2018-01,27,1212
2018-02,19,1231
2018-03,33,1264
2018-04,22,1286
2018-05,37,1323
2018-06,28,1351
2018-07,26,1377
2018-08,35,1412
2018-09,30,1442
2018-10,32,1474
2018-11,31,1505
2018-12,32,1537
2019-01,28,1565
2019-02,28,1593
2019-03,25,1618
2019-04,33,1651
2019-05,40,1691
2019-06,21,1712
2019-07,25,1737
2019-08,34,1771
2019-09,28,1799
2019-10,28,1827
2019-11,22,1849
2019-12,24,1873
2020-01,33,1906
2020-02,33,1939
2020-03,43,1982
2020-04,31,2013
2020-05,19,2032
2020-06,26,2058
2020-07,21,2079
2020-08,21,2100
2020-09,35,2135
2020-10,13,2148
2020-11,21,2169
2020-12,23,2192
2021-01,15,2207
2021-02,26,2233
2021-03,21,2254
2021-04,24,2278
2021-05,17,2295
2021-06,20,2315
2021-07,9,2324
2021-08,11,2335
2021-09,16,2351
2021-10,21,2372
2021-11,23,2395
2021-12,36,2431
2022-01,22,2453
2022-02,22,2475
2022-03,10,2485
2022-04,25,2510
2022-05,9,2519
2022-06,18,2537
2022-07,24,2561
2022-08,17,2578
2022-09,19,2597
2022-10,20,2617
2022-11,25,2642
2022-12,11,2653
2023-01,10,2663
2023-02,15,2678
2023-03,17,2695
2023-04,9,2704
2023-05,7,2711
2023-06,11,2722
2023-07,18,2740
2023-08,12,2752
2023-09,17,2769
2023-10,10,2779
2023-11,12,2791
2023-12,15,2806
2024-01,11,2817
2024-02,16,2833
2024-03,15,2848
2024-04,21,2869
2024-05,17,2886
2024-06,14,2900
2024-07,7,2907
2024-08,11,2918
2024-09,9,2927
2024-10,14,2941
