Date,Monthly Value,Accumulated Value
2015-01,23,23
2015-02,37,60
2015-03,36,96
2015-04,19,115
2015-05,18,133
2015-06,13,146
2015-07,13,159
2015-08,8,167
2015-09,20,187
2015-10,14,201
2015-11,18,219
2015-12,16,235
2016-01,18,253
2016-02,26,279
2016-03,20,299
2016-04,14,313
2016-05,22,335
2016-06,23,358
2016-07,14,372
2016-08,19,391
2016-09,12,403
2016-10,10,413
2016-11,12,425
2016-12,13,438
2017-01,24,462
2017-02,16,478
2017-03,5,483
2017-04,7,490
2017-05,12,502
2017-06,14,516
2017-07,13,529
2017-08,5,534
2017-09,13,547
2017-10,13,560
2017-11,12,572
2017-12,12,584
2018-01,8,592
2018-02,5,597
2018-03,3,600
2018-04,9,609
2018-05,4,613
2018-06,9,622
2018-07,8,630
2018-08,6,636
2018-09,7,643
2018-10,4,647
2018-11,10,657
2018-12,14,671
2019-01,7,678
2019-02,9,687
2019-03,10,697
2019-04,13,710
2019-05,6,716
2019-06,9,725
2019-07,10,735
2019-08,5,740
2019-09,3,743
2019-10,8,751
2019-11,5,756
2019-12,9,765
2020-01,12,777
2020-02,10,787
2020-03,9,796
2020-04,11,807
2020-05,9,816
2020-07,5,821
2020-08,5,826
2020-09,3,829
2020-10,6,835
2020-11,6,841
2020-12,4,845
2021-01,4,849
2021-02,4,853
2021-03,3,856
2021-04,5,861
2021-05,5,866
2021-06,4,870
2021-07,3,873
2021-08,4,877
2021-09,4,881
2021-10,4,885
2021-11,4,889
2021-12,6,895
2022-01,8,903
2022-02,8,911
2022-03,4,915
2022-04,6,921
2022-05,3,924
2022-07,10,934
2022-08,6,940
2022-09,5,945
2022-10,3,948
2022-11,8,956
2022-12,7,963
2023-01,5,968
2023-02,7,975
2023-03,8,983
2023-04,8,991
2023-05,7,998
2023-06,3,1001
2023-07,3,1004
2023-08,6,1010
2023-09,4,1014
2023-10,4,1018
2023-11,4,1022
2023-12,5,1027
2024-01,6,1033
2024-02,11,1044
2024-03,8,1052
2024-04,8,1060
2024-05,5,1065
2024-06,7,1072
2024-07,5,1077
2024-08,4,1081
2024-09,2,1083
2024-10,6,1089
