Date,Monthly Value,Accumulated Value
2019-03,655,655
2019-04,1010,1665
2019-05,103,1768
2019-06,8,1776
2019-09,2,1778
2019-11,10,1788
2019-12,3,1791
2020-04,201,1992
2020-05,42,2034
2020-12,6450,8484
2021-01,46,8530
2021-02,201,8731
2021-05,4,8735
2021-11,9,8744
2021-12,2,8746
2022-01,306,9052
2022-02,24,9076
2022-03,24,9100
2022-04,6,9106
2022-11,38722,47828
2022-12,350,48178
2023-01,38,48216
2023-02,12,48228
2023-03,24,48252
2023-05,12,48264
2023-07,12,48276
2023-10,334,48610
2024-01,12,48622
2024-02,16,48638
2024-03,52,48690
2024-04,63090,111780
2024-06,39380,151160
2024-07,56,151216
2024-09,42170,193386
