Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,4,6
2015-03,3,9
2015-04,2,11
2015-07,3,14
2015-08,3,17
2015-10,2,19
2015-11,2,21
2015-12,2,23
2016-01,6,29
2016-02,2,31
2016-03,1,32
2016-04,1,33
2016-05,2,35
2016-06,6,41
2016-07,2,43
2016-09,2,45
2016-11,2,47
2016-12,2,49
2017-01,2,51
2017-02,2,53
2017-03,1,54
2017-04,3,57
2017-05,3,60
2017-07,1,61
2017-10,2,63
2017-12,2,65
2018-01,2,67
2018-02,2,69
2018-03,1,70
2018-04,10,80
2018-05,12,92
2018-06,1,93
2018-07,4,97
2018-08,2,99
2018-09,5,104
2018-10,7,111
2018-11,3,114
2018-12,8,122
2019-01,6,128
2019-02,7,135
2019-03,3,138
2019-04,5,143
2019-05,5,148
2019-06,6,154
2019-07,5,159
2019-08,1,160
2019-10,2,162
2019-11,3,165
2019-12,1,166
2020-01,4,170
2020-02,5,175
2020-03,5,180
2020-04,7,187
2020-05,5,192
2020-06,6,198
2020-07,6,204
2020-08,5,209
2020-09,7,216
2020-10,5,221
2020-11,4,225
2020-12,5,230
2021-01,8,238
2021-02,6,244
2021-03,7,251
2021-04,3,254
2021-05,3,257
2021-06,4,261
2021-07,4,265
2021-08,2,267
2021-10,3,270
2021-11,3,273
2021-12,4,277
2022-01,2,279
2022-02,6,285
2022-03,6,291
2022-04,4,295
2022-05,5,300
2022-06,8,308
2022-07,5,313
2022-08,4,317
2022-09,2,319
2022-10,5,324
2022-11,3,327
2022-12,5,332
2023-01,2,334
2023-02,5,339
2023-03,6,345
2023-04,4,349
2023-05,3,352
2023-06,4,356
2023-08,2,358
2023-09,5,363
2023-10,3,366
2023-11,5,371
2023-12,8,379
2024-01,8,387
2024-02,3,390
2024-03,5,395
2024-04,5,400
2024-05,7,407
2024-06,8,415
2024-09,5,420
2024-10,4,424
