Date,Monthly Value,Accumulated Value
2017-03,2,2
2017-04,50,52
2017-05,19,71
2017-06,12,83
2017-07,42,125
2017-08,36,161
2017-09,71,232
2017-10,182,414
2017-11,37,451
2017-12,44,495
2018-01,86,581
2018-02,28,609
2018-03,36,645
2018-04,51,696
2018-05,31,727
2018-06,63,790
2018-07,117,907
2018-08,78,985
2018-09,19,1004
2018-10,15,1019
2018-11,40,1059
2018-12,39,1098
2019-01,68,1166
2019-02,79,1245
2019-03,93,1338
2019-04,114,1452
2019-05,43,1495
2019-06,103,1598
2019-07,72,1670
2019-08,65,1735
2019-09,97,1832
2019-10,57,1889
2019-11,96,1985
2019-12,76,2061
2020-01,166,2227
2020-02,160,2387
2020-03,69,2456
2020-04,147,2603
2020-05,103,2706
2020-06,20,2726
2020-07,34,2760
2020-08,16,2776
2020-09,22,2798
2020-10,121,2919
2020-11,90,3009
2020-12,54,3063
2021-01,117,3180
2021-02,33,3213
2021-03,120,3333
2021-04,60,3393
2021-05,193,3586
2021-06,63,3649
2021-07,23,3672
2021-08,113,3785
2021-09,16,3801
2021-10,39,3840
2021-11,31,3871
2021-12,40,3911
2022-01,22,3933
2022-02,20,3953
2022-03,13,3966
2022-04,23,3989
2022-05,56,4045
2022-06,14,4059
2022-07,8,4067
2022-08,32,4099
2022-09,6,4105
2022-10,46,4151
2022-11,50,4201
2022-12,40,4241
2023-01,47,4288
2023-02,48,4336
2023-03,79,4415
2023-04,47,4462
2023-05,44,4506
2023-06,42,4548
2023-07,39,4587
2023-08,28,4615
2023-09,19,4634
2023-10,25,4659
2023-11,12,4671
2023-12,7,4678
2024-01,35,4713
2024-02,5,4718
2024-03,14,4732
2024-04,50,4782
2024-05,20,4802
2024-06,22,4824
2024-07,35,4859
2024-08,14,4873
2024-09,27,4900
2024-10,18,4918
