Date,Monthly Value,Accumulated Value
2016-12,1023,1023
2017-01,20,1043
2017-02,226,1269
2017-03,-1292,-23
2017-04,8753,8730
2017-05,-19738,-11008
2017-06,-30671,-41679
2017-07,2288,-39391
2017-08,9604,-29787
2017-09,-124733,-154520
2017-10,22522,-131998
2017-11,28567,-103431
2017-12,15004,-88427
2018-01,15028,-73399
2018-02,24289,-49110
2018-03,14470,-34640
2018-04,6651,-27989
2018-05,2581,-25408
2018-06,86728,61320
2018-07,12439,73759
2018-08,4669,78428
2018-09,14057,92485
2018-10,47860,140345
2018-11,38130,178475
2018-12,39215,217690
2019-01,55546,273236
2019-02,89694,362930
2019-03,26039,388969
2019-04,101342,490311
2019-05,489,490800
2019-06,26297,517097
2019-07,45333,562430
2019-08,13906,576336
2019-09,28977,605313
2019-10,8721,614034
2019-11,7024,621058
2019-12,12689,633747
2020-01,8976,642723
2020-02,8525,651248
2020-03,46558,697806
2020-04,-3474,694332
2020-05,18154,712486
2020-06,12267,724753
2020-07,5907,730660
2020-08,55553,786213
2020-09,37870,824083
2020-10,14238,838321
2020-11,4948,843269
2020-12,2519,845788
2021-01,-6217,839571
2021-02,6859,846430
2021-03,-1927,844503
2021-04,3405,847908
2021-05,-7421,840487
2021-06,-1496,838991
2021-07,-1466,837525
2021-08,-289,837236
2021-09,3969,841205
2021-10,521,841726
2021-11,2055,843781
2021-12,-42954,800827
2022-01,86108,886935
2022-02,35834,922769
2022-03,126632,1049401
2022-04,1478,1050879
2022-05,140380,1191259
2022-06,22236,1213495
2022-07,-73931,1139564
2022-08,3827,1143391
2022-09,2197,1145588
2022-10,-34161,1111427
2022-11,2668,1114095
2022-12,-18982,1095113
2023-01,-101843,993270
2023-02,137534,1130804
2023-03,25757,1156561
2023-04,8224,1164785
2023-05,-709,1164076
2023-06,44174,1208250
2023-07,2173,1210423
2023-08,25901,1236324
2023-09,-18016,1218308
2023-10,4599,1222907
2023-11,2947,1225854
2023-12,-21153,1204701
2024-01,2963,1207664
2024-02,2625,1210289
2024-03,-801,1209488
2024-04,9855,1219343
2024-05,6340,1225683
2024-06,864,1226547
2024-07,6452,1232999
2024-08,-54,1232945
2024-09,924,1233869
2024-10,2121,1235990
