Date,Monthly Value,Accumulated Value
2016-12,30,30
2017-01,30,60
2017-02,38,98
2017-03,55,153
2017-04,86,239
2017-05,123,362
2017-06,152,514
2017-07,215,729
2017-08,227,956
2017-09,233,1189
2017-10,294,1483
2017-11,245,1728
2017-12,216,1944
2018-01,218,2162
2018-02,275,2437
2018-03,325,2762
2018-04,242,3004
2018-05,199,3203
2018-06,206,3409
2018-07,319,3728
2018-08,282,4010
2018-09,254,4264
2018-10,304,4568
2018-11,297,4865
2018-12,244,5109
2019-01,284,5393
2019-02,375,5768
2019-03,273,6041
2019-04,271,6312
2019-05,300,6612
2019-06,294,6906
2019-07,452,7358
2019-08,532,7890
2019-09,405,8295
2019-10,418,8713
2019-11,369,9082
2019-12,375,9457
2020-01,412,9869
2020-02,370,10239
2020-03,371,10610
2020-04,380,10990
2020-05,392,11382
2020-06,376,11758
2020-07,333,12091
2020-08,262,12353
2020-09,269,12622
2020-10,277,12899
2020-11,219,13118
2020-12,204,13322
2021-01,216,13538
2021-02,197,13735
2021-03,201,13936
2021-04,202,14138
2021-05,181,14319
2021-06,188,14507
2021-07,154,14661
2021-08,111,14772
2021-09,145,14917
2021-10,125,15042
2021-11,113,15155
2021-12,118,15273
2022-01,145,15418
2022-02,115,15533
2022-03,152,15685
2022-04,131,15816
2022-05,149,15965
2022-06,113,16078
2022-07,137,16215
2022-08,137,16352
2022-09,124,16476
2022-10,139,16615
2022-11,143,16758
2022-12,175,16933
2023-01,204,17137
2023-02,220,17357
2023-03,222,17579
2023-04,224,17803
2023-05,219,18022
2023-06,205,18227
2023-07,192,18419
2023-08,228,18647
2023-09,202,18849
2023-10,192,19041
2023-11,237,19278
2023-12,185,19463
2024-01,254,19717
2024-02,190,19907
2024-03,233,20140
2024-04,208,20348
2024-05,205,20553
2024-06,178,20731
2024-07,211,20942
2024-08,159,21101
2024-09,162,21263
2024-10,150,21413
