Date,Monthly Value,Accumulated Value
2015-01,3,3
2015-02,2,5
2015-03,3,8
2015-08,2,10
2015-09,1,11
2015-11,4,15
2015-12,3,18
2016-03,2,20
2016-07,2,22
2016-08,3,25
2016-10,2,27
2016-11,3,30
2017-01,2,32
2017-02,2,34
2017-03,1,35
2017-08,4,39
2017-09,4,43
2017-10,3,46
2017-11,3,49
2017-12,3,52
2018-01,4,56
2018-02,5,61
2018-03,3,64
2018-04,3,67
2018-06,3,70
2018-07,2,72
2018-08,3,75
2018-10,1,76
2018-11,2,78
2018-12,3,81
2019-01,5,86
2019-02,6,92
2019-03,2,94
2019-04,2,96
2019-05,2,98
2019-06,2,100
2019-07,3,103
2019-08,2,105
2019-09,3,108
2019-10,3,111
2019-11,2,113
2019-12,8,121
2020-01,3,124
2020-02,4,128
2020-03,3,131
2020-04,5,136
2020-05,4,140
2020-06,3,143
2020-07,3,146
2020-08,4,150
2020-09,2,152
2020-10,3,155
2020-11,3,158
2020-12,5,163
2021-01,4,167
2021-02,2,169
2021-03,5,174
2021-04,4,178
2021-05,4,182
2021-07,2,184
2021-08,3,187
2021-09,3,190
2021-10,1,191
2022-02,2,193
2022-04,1,194
2022-07,2,196
2022-08,3,199
2022-10,2,201
2022-11,2,203
2023-05,1,204
2023-07,2,206
2023-08,1,207
2023-09,2,209
