Date,Monthly Value,Accumulated Value
2015-01,4.41,4.41
2015-02,3.83,8.24
2015-06,3,11.24
2015-07,4.45,15.690000000000001
2015-09,3.15,18.84
2015-11,2.24,21.08
2016-01,1.41,22.49
2016-08,5.89,28.38
2016-09,1.41,29.79
2016-10,2.41,32.2
2016-12,3.45,35.650000000000006
2017-01,1.41,37.06
2017-02,3.86,40.92
2017-03,3.83,44.75
2017-04,5.66,50.41
2017-05,3,53.41
2017-06,2,55.41
2017-07,6.83,62.239999999999995
2017-08,7.15,69.39
2017-09,1.41,70.8
2017-10,4.15,74.95
2017-11,6.97,81.92
2017-12,4.24,86.16
2018-01,5.97,92.13
2018-02,3,95.13
2018-03,5,100.13
2018-04,7.15,107.28
2018-05,4.24,111.52
2018-06,3,114.52
2018-07,5.15,119.67
2018-08,4.83,124.5
2018-09,3.65,128.15
2018-10,1.41,129.56
2018-11,4.56,134.12
2018-12,3.15,137.27
2019-01,1.41,138.68
2019-02,3.83,142.51000000000002
2019-04,1.41,143.92000000000002
2019-05,4.24,148.16000000000003
2019-07,2.83,150.99000000000004
2019-08,3.83,154.82000000000005
2019-09,1.41,156.23000000000005
2019-10,4.65,160.88000000000005
2019-11,5.6,166.48000000000005
2020-02,2.24,168.72000000000006
2020-04,3.83,172.55000000000007
2020-05,7.39,179.94000000000005
2020-06,4.24,184.18000000000006
2020-07,2.41,186.59000000000006
2020-08,2.83,189.42000000000007
2020-09,3.83,193.25000000000009
2020-10,5.89,199.14000000000007
2020-11,4.86,204.00000000000009
2020-12,1.41,205.41000000000008
2021-01,1.41,206.82000000000008
2021-02,7.6,214.42000000000007
2021-03,2.83,217.25000000000009
2021-04,2,219.25000000000009
2021-05,1.41,220.66000000000008
2021-06,2,222.66000000000008
2021-07,3.83,226.4900000000001
2021-08,1,227.4900000000001
2021-09,2,229.4900000000001
2021-11,3.83,233.3200000000001
2021-12,2.41,235.7300000000001
2022-01,8.8,244.53000000000011
2022-02,8.8,253.33000000000013
2022-03,6.83,260.16000000000014
2022-04,7.69,267.85000000000014
2022-05,2,269.85000000000014
2022-06,1,270.85000000000014
2022-08,2,272.85000000000014
2022-09,3.41,276.26000000000016
2022-10,3.83,280.09000000000015
2022-11,1.41,281.50000000000017
2023-02,2.83,284.33000000000015
2023-03,4.24,288.57000000000016
2023-06,6.51,295.08000000000015
2023-07,4,299.08000000000015
2023-08,2.83,301.91000000000014
2023-09,4.24,306.15000000000015
2023-10,1.41,307.5600000000002
