Date,Monthly Value,Accumulated Value
2015-04,1,1
2015-07,4,5
2015-09,1,6
2015-11,2,8
2016-02,2,10
2016-08,4,14
2016-09,2,16
2016-10,3,19
2016-12,3,22
2017-02,3,25
2017-04,2,27
2017-05,3,30
2017-11,3,33
2017-12,1,34
2018-01,3,37
2018-04,1,38
2018-05,1,39
2018-08,5,44
2018-09,2,46
2018-10,2,48
2018-12,4,52
2019-03,2,54
2019-08,3,57
2019-09,1,58
2019-10,5,63
2019-11,2,65
2019-12,1,66
2020-02,3,69
2020-04,1,70
2020-08,1,71
2020-09,3,74
2020-10,1,75
2020-11,1,76
2021-01,1,77
2021-05,1,78
2021-10,0,78
2022-02,1,79
2022-03,3,82
2022-04,1,83
2022-05,1,84
2022-07,2,86
2022-08,1,87
2022-09,2,89
2022-10,1,90
2023-03,1,91
2023-06,4,95
