Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,2,3
2015-06,1,4
2015-09,2,6
2016-01,1,7
2016-08,1,8
2016-09,1,9
2016-10,1,10
2016-12,2,12
2017-01,1,13
2017-03,2,15
2017-04,3,18
2017-05,2,20
2017-06,2,22
2017-07,4,26
2017-08,5,31
2017-09,1,32
2017-10,2,34
2017-11,4,38
2017-12,3,41
2018-01,3,44
2018-02,1,45
2018-03,3,48
2018-04,5,53
2018-05,2,55
2018-06,2,57
2018-07,4,61
2018-08,2,63
2018-09,1,64
2018-10,1,65
2018-11,3,68
2018-12,1,69
2019-01,1,70
2019-02,2,72
2019-04,1,73
2019-05,2,75
2019-07,2,77
2019-08,2,79
2019-09,1,80
2019-10,3,83
2019-11,2,85
2020-04,2,87
2020-05,4,91
2020-06,6,97
2020-07,1,98
2020-08,4,102
2020-09,2,104
2020-10,5,109
2020-11,3,112
2020-12,1,113
2021-01,1,114
2021-02,4,118
2021-03,3,121
2021-04,2,123
2021-05,1,124
2021-06,1,125
2021-07,2,127
2021-08,1,128
2021-09,1,129
2021-11,4,133
2021-12,1,134
2022-01,4,138
2022-02,3,141
2022-03,4,145
2022-04,2,147
2022-05,2,149
2022-08,2,151
2022-09,2,153
2022-10,2,155
2022-11,1,156
2023-02,3,159
2023-03,5,164
2023-06,2,166
2023-07,2,168
2023-08,2,170
2023-09,4,174
2023-10,1,175
