Date,Monthly Value,Accumulated Value
2015-01,0.77,0.77
2015-02,1.28,2.05
2015-03,1.09,3.1399999999999997
2015-04,0.93,4.069999999999999
2015-06,1.05,5.119999999999999
2015-07,1.26,6.379999999999999
2015-08,1.07,7.449999999999999
2015-09,1.33,8.78
2015-10,1.13,9.91
2015-11,0.81,10.72
2016-01,0.6,11.32
2016-08,2.11,13.43
2016-09,1.46,14.89
2016-10,1.5,16.39
2016-11,1.28,17.67
2016-12,1,18.67
2017-01,0.76,19.430000000000003
2017-02,1.23,20.660000000000004
2017-03,0.86,21.520000000000003
2017-04,1.52,23.040000000000003
2017-05,1.11,24.150000000000002
2017-06,0.74,24.89
2017-07,1.65,26.54
2017-08,2.61,29.15
2017-09,1.86,31.009999999999998
2017-10,2.2,33.21
2017-11,3.18,36.39
2017-12,2.08,38.47
2018-01,1.54,40.01
2018-02,1.42,41.43
2018-03,1.35,42.78
2018-04,2.99,45.77
2018-05,2.48,48.25
2018-06,1.73,49.98
2018-07,2.02,52.0
2018-08,2.4,54.4
2018-09,2.36,56.76
2018-10,1.19,57.949999999999996
2018-11,1.74,59.69
2018-12,1.71,61.4
2019-01,0.79,62.19
2019-02,1.08,63.269999999999996
2019-03,0.92,64.19
2019-04,1.15,65.34
2019-05,1.1,66.44
2019-06,0.93,67.37
2019-07,1.17,68.54
2019-08,1.25,69.79
2019-09,1.21,71.0
2019-10,1.17,72.17
2019-11,1.89,74.06
2019-12,1.61,75.67
2020-01,1.37,77.04
2020-02,1.03,78.07000000000001
2020-03,0.88,78.95
2020-04,1.11,80.06
2020-05,2.62,82.68
2020-06,2.33,85.01
2020-07,1.07,86.08
2020-08,1.96,88.03999999999999
2020-09,1.91,89.94999999999999
2020-10,2.73,92.67999999999999
2020-11,2.84,95.52
2020-12,1.3,96.82
2021-01,1.06,97.88
2021-02,2.26,100.14
2021-03,1.8,101.94
2021-04,1.51,103.45
2021-05,1.17,104.62
2021-06,1.47,106.09
2021-07,1.59,107.68
2021-08,0.81,108.49000000000001
2021-09,1.34,109.83000000000001
2021-10,1,110.83000000000001
2021-11,1.85,112.68
2021-12,0.99,113.67
2022-01,2.38,116.05
2022-02,2.69,118.74
2022-03,3.28,122.02
2022-04,3.6,125.61999999999999
2022-05,2.13,127.74999999999999
2022-06,0.96,128.70999999999998
2022-08,0.95,129.65999999999997
2022-09,1.71,131.36999999999998
2022-10,1.32,132.68999999999997
2022-11,0.83,133.51999999999998
2023-02,1.44,134.95999999999998
2023-03,1.52,136.48
2023-04,1.29,137.76999999999998
2023-05,1.1,138.86999999999998
2023-06,2.49,141.35999999999999
2023-07,1.89,143.24999999999997
2023-08,1.72,144.96999999999997
2023-09,5.13,150.09999999999997
2023-10,2.14,152.23999999999995
2023-11,1.82,154.05999999999995
