Date,Monthly Value,Accumulated Value
2016-02,1,1
2016-03,1,2
2016-05,2,4
2016-06,2,6
2016-10,1,7
2017-01,2,9
2017-07,16,25
2017-10,4,29
2017-12,3,32
2018-04,1,33
2018-05,7,40
2019-01,1,41
2019-04,9,50
2019-10,2,52
2020-06,7,59
2021-04,2,61
2021-05,2,63
2021-07,7,70
2021-09,10,80
2021-11,8,88
2022-01,6,94
2022-02,4,98
2022-03,10,108
2022-04,2,110
2022-09,15,125
2022-10,5,130
2022-11,2,132
2023-02,9,141
2023-03,14,155
2023-04,29,184
2023-05,15,199
2023-06,3,202
2023-07,40,242
2023-08,36,278
2023-09,30,308
2023-10,35,343
2023-11,13,356
2024-01,15,371
2024-02,25,396
2024-03,21,417
2024-04,7,424
2024-05,17,441
2024-06,15,456
2024-07,10,466
2024-08,2,468
2024-09,1,469
