Date,Monthly Value,Accumulated Value
2015-01,15,15
2015-02,24,39
2015-03,16,55
2015-04,21,76
2015-05,14,90
2015-06,14,104
2015-07,14,118
2015-08,14,132
2015-09,14,146
2015-10,22,168
2015-11,15,183
2015-12,21,204
2016-01,26,230
2016-02,17,247
2016-03,15,262
2016-04,24,286
2016-05,22,308
2016-06,36,344
2016-07,32,376
2016-08,25,401
2016-09,24,425
2016-10,25,450
2016-11,26,476
2016-12,26,502
2017-01,36,538
2017-02,29,567
2017-03,34,601
2017-04,32,633
2017-05,29,662
2017-06,32,694
2017-07,33,727
2017-08,25,752
2017-09,31,783
2017-10,42,825
2017-11,46,871
2017-12,28,899
2018-01,24,923
2018-02,33,956
2018-03,33,989
2018-04,28,1017
2018-05,27,1044
2018-06,26,1070
2018-07,21,1091
2018-08,32,1123
2018-09,20,1143
2018-10,35,1178
2018-11,32,1210
2018-12,12,1222
2019-01,41,1263
2019-02,32,1295
2019-03,26,1321
2019-04,33,1354
2019-05,25,1379
2019-06,25,1404
2019-07,32,1436
2019-08,31,1467
2019-09,19,1486
2019-10,31,1517
2019-11,24,1541
2019-12,16,1557
2020-01,20,1577
2020-02,21,1598
2020-03,33,1631
2020-04,27,1658
2020-05,32,1690
2020-06,30,1720
2020-07,24,1744
2020-08,16,1760
2020-09,27,1787
2020-10,22,1809
2020-11,14,1823
2020-12,18,1841
2021-01,29,1870
2021-02,17,1887
2021-03,21,1908
2021-04,21,1929
2021-05,25,1954
2021-06,16,1970
2021-07,19,1989
2021-08,18,2007
2021-09,16,2023
2021-10,23,2046
2021-11,26,2072
2021-12,36,2108
2022-01,23,2131
2022-02,27,2158
2022-03,20,2178
2022-04,17,2195
2022-05,16,2211
2022-06,18,2229
2022-07,19,2248
2022-08,19,2267
2022-09,29,2296
2022-10,38,2334
2022-11,33,2367
2022-12,23,2390
2023-01,27,2417
2023-02,15,2432
2023-03,25,2457
2023-04,19,2476
2023-05,35,2511
2023-06,26,2537
2023-07,34,2571
2023-08,36,2607
2023-09,37,2644
2023-10,50,2694
2023-11,34,2728
2023-12,37,2765
2024-01,35,2800
2024-02,22,2822
2024-03,31,2853
2024-04,32,2885
2024-05,33,2918
2024-06,29,2947
2024-07,30,2977
2024-08,17,2994
2024-09,16,3010
2024-10,25,3035
