Date,Monthly Value,Accumulated Value
2015-06,424,424
2015-07,1090,1514
2015-09,52,1566
2015-10,490,2056
2016-01,160,2216
2016-02,96,2312
2016-03,35,2347
2016-05,779,3126
2016-06,318,3444
2016-07,118,3562
2016-08,22,3584
2016-09,233,3817
2016-10,92,3909
2016-11,72,3981
2017-01,20,4001
2017-05,286,4287
2017-06,65,4352
2017-07,184,4536
2017-09,36,4572
2018-01,44,4616
2018-02,28,4644
2018-03,1,4645
2018-04,10,4655
2018-05,1,4656
2018-07,1,4657
2018-08,1,4658
2018-09,14,4672
2019-03,4,4676
2019-04,1,4677
2019-07,14,4691
2019-09,358,5049
2019-11,69,5118
2020-05,1,5119
2020-06,43,5162
2020-07,1,5163
2021-01,191,5354
2021-04,2,5356
2021-06,1,5357
2021-08,1,5358
2022-02,2,5360
2023-01,191,5551
