Date,Monthly Value,Accumulated Value
2016-04,1,1
2016-05,1,2
2016-06,1,3
2016-07,1,4
2016-08,2,6
2016-09,3,9
2016-10,3,12
2016-11,3,15
2016-12,3,18
2017-01,3,21
2017-02,3,24
2017-03,3,27
2017-04,4,31
2017-05,4,35
2017-06,4,39
2017-07,5,44
2017-08,5,49
2017-09,5,54
2017-10,5,59
2017-11,5,64
2017-12,8,72
2018-01,10,82
2018-02,10,92
2018-03,11,103
2018-04,11,114
2018-05,11,125
2018-06,11,136
2018-07,11,147
2018-08,12,159
2018-09,12,171
2018-10,13,184
2018-11,14,198
2018-12,14,212
2019-01,14,226
2019-02,15,241
2019-03,16,257
2019-04,16,273
2019-05,17,290
2019-06,17,307
2019-07,17,324
2019-08,17,341
2019-09,16,357
2019-10,16,373
2019-11,16,389
2019-12,16,405
2020-01,16,421
2020-02,16,437
2020-03,20,457
2020-04,20,477
2020-05,21,498
2020-06,21,519
2020-07,21,540
2020-08,21,561
2020-09,21,582
2020-10,21,603
2020-11,21,624
2020-12,21,645
2021-01,21,666
2021-02,21,687
2021-03,21,708
2021-04,21,729
2021-05,21,750
2021-06,21,771
2021-07,21,792
2021-08,21,813
2021-09,21,834
2021-10,21,855
2021-11,21,876
2021-12,21,897
2022-01,21,918
2022-02,21,939
2022-03,21,960
2022-04,21,981
2022-05,21,1002
2022-06,21,1023
2022-07,21,1044
2022-08,22,1066
2022-09,22,1088
2022-10,22,1110
2022-11,22,1132
2022-12,22,1154
2023-01,22,1176
2023-02,22,1198
2023-03,22,1220
2023-04,22,1242
2023-05,22,1264
2023-06,22,1286
2023-07,22,1308
2023-08,22,1330
2023-09,22,1352
2023-10,22,1374
2023-11,22,1396
2023-12,22,1418
2024-01,22,1440
2024-02,22,1462
2024-03,22,1484
2024-04,22,1506
2024-05,22,1528
2024-06,22,1550
2024-07,22,1572
2024-08,22,1594
2024-09,22,1616
2024-10,22,1638
