Date,Monthly Value,Accumulated Value
2015-06,14,14
2015-07,7,21
2015-09,18,39
2015-10,14,53
2015-11,1,54
2016-01,11,65
2016-02,1,66
2016-03,28,94
2016-05,14,108
2016-06,10,118
2016-07,7,125
2016-08,2,127
2016-09,31,158
2016-10,24,182
2016-11,4,186
2017-01,30,216
2017-02,7,223
2017-04,1,224
2017-05,19,243
2017-06,24,267
2017-07,9,276
2017-09,10,286
2017-10,1,287
2017-11,1,288
2018-01,25,313
2018-02,24,337
2018-03,4,341
2018-04,19,360
2018-05,5,365
2018-07,2,367
2018-09,1,368
2018-11,4,372
2018-12,2,374
2019-01,3,377
2019-02,3,380
2019-05,4,384
2019-06,2,386
2019-07,2,388
2019-09,16,404
2019-10,4,408
2019-11,5,413
2020-01,3,416
2020-03,4,420
2020-04,4,424
2020-05,4,428
2020-06,5,433
2020-07,1,434
2020-08,1,435
2020-09,2,437
2020-10,1,438
2021-03,4,442
2021-04,2,444
2021-06,2,446
2021-07,1,447
