Date,Monthly Value,Accumulated Value
2017-11,1.4,1.4
2017-12,3.9,5.3
2018-01,2.62,7.92
2018-02,7.43,15.35
2018-03,4.43,19.78
2018-04,3.99,23.770000000000003
2018-05,9.29,33.06
2018-06,8.16,41.22
2018-07,5.71,46.93
2018-08,5.26,52.19
2018-09,6.59,58.78
2018-10,5.34,64.12
2018-12,2.9,67.02000000000001
2019-01,3.28,70.30000000000001
2019-02,5,75.30000000000001
2019-03,2.86,78.16000000000001
2019-04,4.43,82.59
2019-05,2.14,84.73
2019-06,1.27,86.0
2019-07,1.27,87.27
2019-08,3.38,90.64999999999999
2019-09,2.7,93.35
2019-10,2.9,96.25
2019-11,1.55,97.8
2019-12,0.54,98.34
2020-01,0.69,99.03
2020-02,0.74,99.77
2020-03,0.79,100.56
2020-06,0.88,101.44
2020-07,0.46,101.89999999999999
2020-08,0.78,102.67999999999999
2020-09,0.33,103.00999999999999
2020-10,0.33,103.33999999999999
2020-11,0.26,103.6
2020-12,0.33,103.92999999999999
2021-01,0.24,104.16999999999999
2021-02,0.19,104.35999999999999
2021-03,0.16,104.51999999999998
2021-04,0.89,105.40999999999998
2021-05,0.37,105.77999999999999
2021-12,0.52,106.29999999999998
2022-01,1.19,107.48999999999998
2022-02,1.13,108.61999999999998
2022-05,0.18,108.79999999999998
2022-08,0.25,109.04999999999998
2022-09,0.8,109.84999999999998
2023-01,0.22,110.06999999999998
2023-02,0.61,110.67999999999998
2023-05,0.24,110.91999999999997
2023-06,0.26,111.17999999999998
2023-07,0.61,111.78999999999998
2023-09,0.24,112.02999999999997
2023-10,0.51,112.53999999999998
2024-01,0.21,112.74999999999997
2024-03,0.15,112.89999999999998
