Date,Monthly Value,Accumulated Value
2015-10,4,4
2015-11,3,7
2015-12,4,11
2016-01,5,16
2016-02,4,20
2016-03,5,25
2016-04,5,30
2016-05,4,34
2016-06,5,39
2016-07,5,44
2016-08,5,49
2016-09,2,51
2016-10,4,55
2016-11,10,65
2016-12,3,68
2017-01,3,71
2017-02,4,75
2017-03,7,82
2017-04,8,90
2017-05,4,94
2017-06,5,99
2017-07,3,102
2017-08,3,105
2017-09,5,110
2017-10,6,116
2017-11,3,119
2017-12,4,123
2018-01,4,127
2018-02,6,133
2018-03,5,138
2018-04,8,146
2018-05,4,150
2018-06,2,152
2018-07,6,158
2018-08,5,163
2018-09,5,168
2018-10,2,170
2018-11,3,173
2018-12,3,176
2019-01,2,178
2019-02,12,190
2019-03,3,193
2019-04,3,196
2019-05,6,202
2019-06,3,205
2019-07,3,208
2019-08,5,213
2019-09,4,217
2019-10,4,221
2019-11,6,227
2019-12,4,231
2020-01,4,235
2020-02,4,239
2020-03,4,243
2020-04,4,247
2020-05,6,253
2020-06,6,259
2020-07,5,264
2020-08,5,269
2020-09,3,272
2020-10,3,275
2020-11,3,278
2020-12,2,280
2021-01,2,282
2021-02,4,286
2021-03,4,290
2021-04,4,294
2021-05,4,298
2021-06,7,305
2021-07,2,307
2021-08,3,310
2021-09,2,312
2021-10,2,314
2021-11,2,316
2021-12,2,318
2022-01,2,320
2022-02,1,321
2022-03,1,322
2022-04,4,326
2022-05,3,329
2022-06,3,332
2022-07,2,334
2022-08,3,337
2022-09,4,341
2022-10,7,348
2022-11,4,352
2022-12,5,357
2023-01,3,360
2023-02,2,362
2023-03,7,369
2023-04,2,371
2023-05,5,376
2023-06,2,378
2023-07,3,381
2023-08,5,386
2023-09,2,388
2023-10,5,393
2023-11,2,395
2023-12,4,399
2024-01,2,401
2024-02,6,407
2024-03,3,410
2024-04,3,413
2024-05,3,416
2024-06,3,419
2024-07,5,424
2024-08,4,428
2024-09,3,431
2024-10,3,434
