Date,Monthly Value,Accumulated Value
2015-02,148,148
2015-03,5369,5517
2015-04,3022,8539
2015-05,3922,12461
2015-06,762,13223
2015-07,5249,18472
2015-08,36686,55158
2015-09,7543,62701
2015-10,33999,96700
2015-11,133549,230249
2015-12,28065,258314
2016-01,18538,276852
2016-02,2739,279591
2016-03,5113,284704
2016-04,8617,293321
2016-07,262,293583
2016-08,210,293793
2016-09,97,293890
2016-11,3557,297447
2016-12,260,297707
2017-01,12,297719
2017-04,15,297734
2017-05,18,297752
2017-06,14,297766
2017-07,18,297784
2017-09,36,297820
2017-10,1447,299267
2017-11,10362,309629
2017-12,1096,310725
2018-01,1340,312065
2018-02,120908,432973
2018-03,33322,466295
2018-04,6933,473228
2018-05,96106,569334
2018-06,20868,590202
2018-07,13638,603840
2018-08,6253,610093
2018-09,67710,677803
2018-10,10299,688102
2018-11,5521,693623
2018-12,1,693624
2019-01,11947,705571
2019-02,15238,720809
2019-03,1938,722747
2019-04,48486,771233
2019-05,6,771239
2019-06,82733,853972
2019-07,10,853982
2019-08,21950,875932
2019-09,5309,881241
2019-10,4488,885729
2019-11,12490,898219
2020-02,116127,1014346
2020-03,1137,1015483
2020-04,1404,1016887
2020-05,35380,1052267
2020-06,7571,1059838
2020-07,23965,1083803
2020-08,1160,1084963
2020-09,4707,1089670
2020-10,3935,1093605
2020-11,9630,1103235
2020-12,1226,1104461
2021-01,12472,1116933
2021-02,19746,1136679
2021-03,18159,1154838
2021-04,8334,1163172
2021-05,54841,1218013
2021-06,513,1218526
2021-07,2694,1221220
2021-08,13,1221233
2021-09,7817,1229050
2021-11,22,1229072
2021-12,1,1229073
2022-01,7,1229080
2022-02,12,1229092
2022-03,29477,1258569
2022-04,1634,1260203
2022-05,9265,1269468
2022-06,3096,1272564
2022-07,2240,1274804
2022-08,3532,1278336
2022-09,3103,1281439
2022-10,1871,1283310
2022-11,1650,1284960
2022-12,12,1284972
2023-01,1245,1286217
2023-02,1553,1287770
2023-03,8806,1296576
2023-04,8741,1305317
2023-05,3813,1309130
2023-06,11042,1320172
2023-07,11873,1332045
2023-08,86,1332131
2023-09,1261,1333392
2023-10,24576,1357968
2023-11,3,1357971
2023-12,2,1357973
2024-01,767,1358740
2024-02,385,1359125
2024-03,21002,1380127
2024-04,4800,1384927
2024-05,1421,1386348
2024-06,28818,1415166
2024-07,1592,1416758
2024-08,14306,1431064
2024-09,6391,1437455
2024-10,5459,1442914
