Date,Monthly Value,Accumulated Value
2015-06,50.86,50.86
2015-07,86.27,137.13
2015-08,102.89,240.01999999999998
2015-09,103.03,343.04999999999995
2015-10,68.11,411.15999999999997
2015-11,80.02,491.17999999999995
2015-12,78.68,569.8599999999999
2016-01,50.47,620.3299999999999
2016-02,72.61,692.9399999999999
2016-03,90.9,783.8399999999999
2016-04,97.87,881.7099999999999
2016-05,80.56,962.27
2016-06,115.87,1078.1399999999999
2016-07,78.01,1156.1499999999999
2016-08,108.93,1265.08
2016-09,65.13,1330.21
2016-10,75.57,1405.78
2016-11,81.14,1486.92
2016-12,68.07,1554.99
2017-01,78.26,1633.25
2017-02,81.47,1714.72
2017-03,98.66,1813.38
2017-04,100.15,1913.5300000000002
2017-05,118.42,2031.9500000000003
2017-06,120.22,2152.17
2017-07,84.62,2236.79
2017-08,81.97,2318.7599999999998
2017-09,70.81,2389.5699999999997
2017-10,100.2,2489.7699999999995
2017-11,96.83,2586.5999999999995
2017-12,92.39,2678.9899999999993
2018-01,116.69,2795.6799999999994
2018-02,114.1,2909.7799999999993
2018-03,122.75,3032.5299999999993
2018-04,87.08,3119.609999999999
2018-05,106.33,3225.939999999999
2018-06,84.83,3310.769999999999
2018-07,94.7,3405.469999999999
2018-08,90.8,3496.269999999999
2018-09,65.53,3561.7999999999993
2018-10,83.1,3644.899999999999
2018-11,59.53,3704.4299999999994
2018-12,50.83,3755.2599999999993
2019-01,64.23,3819.4899999999993
2019-02,53.88,3873.3699999999994
2019-03,81.94,3955.3099999999995
2019-04,62.62,4017.9299999999994
2019-05,68.39,4086.3199999999993
2019-06,99.87,4186.19
2019-07,82.12,4268.3099999999995
2019-08,72.09,4340.4
2019-09,97.01,4437.41
2019-10,114.81,4552.22
2019-11,139.46,4691.68
2019-12,80.99,4772.67
2020-01,94.69,4867.36
2020-02,100.56,4967.92
2020-03,77.94,5045.86
2020-04,81.41,5127.2699999999995
2020-05,78.3,5205.57
2020-06,75.67,5281.24
2020-07,74.64,5355.88
2020-08,65.54,5421.42
2020-09,104.73,5526.15
2020-10,108.1,5634.25
2020-11,103.92,5738.17
2020-12,79.55,5817.72
2021-01,85.83,5903.55
2021-02,85.63,5989.18
2021-03,70.14,6059.320000000001
2021-04,99.36,6158.68
2021-05,90.22,6248.900000000001
2021-06,54.32,6303.22
2021-07,121.85,6425.070000000001
2021-08,91.83,6516.900000000001
2021-09,88.35,6605.250000000001
2021-10,92,6697.250000000001
2021-11,100.14,6797.390000000001
2021-12,78.72,6876.1100000000015
2022-01,99.85,6975.960000000002
2022-02,89.85,7065.810000000002
2022-03,115.55,7181.360000000002
2022-04,118.97,7300.330000000003
2022-05,99.84,7400.170000000003
2022-06,98.33,7498.500000000003
2022-07,67.25,7565.750000000003
2022-08,75.87,7641.620000000003
2022-09,88.15,7729.770000000002
2022-10,106.07,7835.840000000002
2022-11,106.09,7941.930000000002
2022-12,78.47,8020.400000000002
2023-01,97.81,8118.210000000003
2023-02,106.06,8224.270000000002
2023-03,88.83,8313.100000000002
2023-04,73.76,8386.860000000002
2023-05,69.43,8456.290000000003
2023-06,77.07,8533.360000000002
2023-07,54.37,8587.730000000003
2023-08,83.28,8671.010000000004
2023-09,72.92,8743.930000000004
2023-10,87.75,8831.680000000004
2023-11,89.16,8920.840000000004
2023-12,83.72,9004.560000000003
2024-01,101.68,9106.240000000003
2024-02,75.99,9182.230000000003
2024-03,90.12,9272.350000000004
2024-04,72.43,9344.780000000004
2024-05,68.97,9413.750000000004
2024-06,57.24,9470.990000000003
2024-07,70.06,9541.050000000003
2024-08,57.22,9598.270000000002
2024-09,85.94,9684.210000000003
2024-10,64.01,9748.220000000003
