Date,Monthly Value,Accumulated Value
2015-01,1.04,1.04
2015-02,0.89,1.9300000000000002
2015-03,0.99,2.92
2015-04,0.97,3.8899999999999997
2015-05,0.94,4.83
2015-06,1.63,6.46
2015-07,2.43,8.89
2015-08,3.11,12.0
2015-09,3.78,15.78
2015-10,1.43,17.21
2015-11,3.44,20.650000000000002
2015-12,3.88,24.53
2016-01,2.72,27.25
2016-02,2.6,29.85
2016-03,2.21,32.06
2016-04,1.14,33.2
2016-05,0.97,34.17
2016-06,1.34,35.510000000000005
2016-07,1.14,36.650000000000006
2016-08,2.41,39.06
2016-09,2.05,41.11
2016-10,2.77,43.88
2016-11,2.35,46.230000000000004
2016-12,4.71,50.940000000000005
2017-01,5.46,56.400000000000006
2017-02,4.72,61.120000000000005
2017-03,2.67,63.790000000000006
2017-04,2.79,66.58000000000001
2017-05,2.37,68.95000000000002
2017-06,3.12,72.07000000000002
2017-07,4.44,76.51000000000002
2017-08,4.66,81.17000000000002
2017-09,4.01,85.18000000000002
2017-10,3.09,88.27000000000002
2017-11,3.13,91.40000000000002
2017-12,2.66,94.06000000000002
2018-01,2.26,96.32000000000002
2018-02,1.08,97.40000000000002
2018-03,0.92,98.32000000000002
2018-04,1.67,99.99000000000002
2018-05,1.08,101.07000000000002
2018-06,2.42,103.49000000000002
2018-07,4.65,108.14000000000003
2018-08,2.7,110.84000000000003
2018-09,2.99,113.83000000000003
2018-10,2.54,116.37000000000003
2018-11,2.53,118.90000000000003
2018-12,2.31,121.21000000000004
2019-01,3.42,124.63000000000004
2019-02,4.98,129.61000000000004
2019-03,2.71,132.32000000000005
2019-04,2.62,134.94000000000005
2019-05,1.98,136.92000000000004
2019-06,1.68,138.60000000000005
2019-07,2.23,140.83000000000004
2019-08,1.89,142.72000000000003
2019-09,2.51,145.23000000000002
2019-10,2.55,147.78000000000003
2019-11,1.34,149.12000000000003
2019-12,1.14,150.26000000000002
2020-01,3.71,153.97000000000003
2020-02,2.99,156.96000000000004
2020-03,3.46,160.42000000000004
2020-04,2.94,163.36000000000004
2020-05,2.5,165.86000000000004
2020-06,2.12,167.98000000000005
2020-07,1.8,169.78000000000006
2020-08,2.99,172.77000000000007
2020-09,3.36,176.13000000000008
2020-10,2.86,178.9900000000001
2020-11,2.43,181.4200000000001
2020-12,1.58,183.0000000000001
2021-01,1.68,184.68000000000012
2021-02,1.43,186.11000000000013
2021-03,0.96,187.07000000000014
2021-08,0.8,187.87000000000015
2022-03,1.42,189.29000000000013
2022-04,1.77,191.06000000000014
2022-05,1.57,192.63000000000014
2022-06,1.33,193.96000000000015
2022-07,1.13,195.09000000000015
2022-08,1.2,196.29000000000013
2022-09,1.26,197.55000000000013
2022-10,1.07,198.62000000000012
2022-11,0.91,199.53000000000011
2023-01,1.34,200.87000000000012
2023-02,1.14,202.0100000000001
2023-03,0.66,202.6700000000001
2023-04,0.52,203.1900000000001
2023-09,0.98,204.1700000000001
